label,y,x,area_px,major_axis_px,minor_axis_px,eccentricity,orientation_deg,mean_intensity,max_intensity,mean_z,max_z,bbox_min_y,bbox_min_x,bbox_max_y,bbox_max_x,radius_px
32,282.8816169393648,852.474615014437,36,11.007088759340995,4.200769712777836,0.9243101326168401,28.959640989890307,230.88888549804688,646.0,26.290151596069336,82.28787231445312,278,850,288,857,419.859375
33,294.60454057370765,517.7369228409265,31,9.638161651691304,4.015670684663694,0.9090702804801037,82.65035515184782,210.2903289794922,701.0,30.183467864990234,112.80857849121094,293,514,297,524,221.05186462402344
34,321.6301192327631,128.51503369621565,25,6.180301161566535,5.179563451907827,0.5455531551937657,-53.646224699938834,154.32000732421875,243.0,16.020503997802734,27.923917770385742,319,126,325,132,442.9371337890625
35,337.3723930717568,134.32007776599505,54,14.979922263567394,4.7646685248492515,0.9480671271655612,-22.181470549145303,104.77777862548828,156.0,9.277995109558105,16.18777847290039,331,131,345,139,430.972412109375
36,342.73131583347265,754.0653736833306,53,20.65391911187797,3.4352315466704892,0.9860712461620813,34.00637118741514,112.84906005859375,221.0,10.249289512634277,24.821260452270508,336,749,352,761,302.969482421875
37,352.9867587795049,78.2059585492228,41,8.873433148304922,6.092374944727547,0.7270486013717855,-28.823695364810778,169.46340942382812,459.0,18.27376365661621,57.33171463012695,349,75,358,82,477.4414978027344
38,369.7718035563082,704.2933954276037,52,18.44932066836151,3.64002552338305,0.9803434368694034,37.24632139364747,90.84615325927734,157.0,9.104976654052734,16.862268447875977,363,699,378,711,244.84649658203125
39,380.0,711.9871134020618,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,77.5999984741211,91.0,6.704438209533691,7.958991050720215,379,711,382,714,245.4910430908203
40,387.4055712936733,26.683191690273844,21,6.844455372120417,3.8511602400055156,0.8266825431633265,-9.730822501489943,100.85713958740234,155.0,9.616311073303223,16.997167587280273,384,25,391,29,516.3201904296875
41,429.3888025812619,950.1524856596558,119,15.7333550313463,10.327535742384017,0.7544041120379195,11.294768540463288,140.63865661621094,324.0,14.250459671020508,38.985565185546875,424,945,439,957,457.7903747558594
42,444.7552593209748,609.1455946677776,8,3.4641016151377544,2.8284271247461903,0.5773502691896258,90.0,600.125,2395.0,90.47075653076172,354.7071838378906,444,608,447,612,118.46273040771484
43,459.99305643226865,279.010225981568,78,24.97041980625497,4.122646590453451,0.9862766293391984,-12.203976914251603,101.55128479003906,203.0,11.570112228393555,28.665857315063477,449,276,473,283,251.76754760742188
44,475.0041281835992,227.69661349006438,44,11.54442778255313,5.030377676686872,0.9000722162871788,10.552132168975028,324.81817626953125,1826.0,37.80264663696289,241.33279418945312,469,225,481,231,302.0572204589844
45,479.7224199288256,849.6963226571768,10,4.0,3.149603149604724,0.6164414002968978,-45.0,84.30000305175781,106.0,6.326723098754883,9.173073768615723,478,848,482,852,351.01104736328125
46,493.68771234428084,844.8479614949038,24,8.903297144693031,3.6260124958372084,0.9133094746971795,12.846542890216286,147.1666717529297,339.0,14.861279487609863,40.73924255371094,490,843,498,848,345.360107421875
47,493.46272098385856,851.0207532667179,14,5.606119105813881,3.0237157840738176,0.8420753583206845,0.0,92.92857360839844,109.0,7.467576026916504,9.712666511535645,491,850,497,853,351.587646484375
48,505.9453914141414,803.0070496632997,86,23.594799028691916,5.099911096539862,0.9763611504069211,-0.13172639332238473,110.51162719726562,199.0,9.591102600097656,21.853500366210938,493,800,518,806,302.3262634277344
49,508.71611686788987,179.80642963526319,140,29.59457115677338,7.38932841151399,0.9683270456133226,15.084205443451742,450.8143005371094,2678.0,55.7967643737793,356.2660217285156,499,175,528,186,349.0659484863281
50,501.5830050647158,851.1108610016882,15,5.44427222102846,3.5295435627168024,0.7613815723014773,-3.327212523003297,118.46666717529297,153.0,10.926748275756836,15.513287544250488,499,850,505,854,351.5549011230469
51,505.02425015954054,857.1429483088705,12,4.320493798938574,3.590109871423003,0.5563486402641867,0.0,130.5833282470703,179.0,9.353473663330078,13.297103881835938,503,856,508,860,357.6744689941406
52,513.3441021788129,856.9932381667919,10,6.511528238439882,2.5298221281347035,0.9214426752509268,0.0,133.10000610351562,182.0,9.054235458374023,13.58617115020752,511,856,517,859,357.6282653808594
53,531.9694835680751,184.01643192488262,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,85.19999694824219,96.0,6.5020904541015625,7.958991050720215,531,183,534,186,346.44940185546875
54,532.986013986014,801.9370629370629,5,2.5298221281347035,2.5298221281347035,0.0,-45.0,114.4000015258789,138.0,10.468095779418945,13.624712944030762,532,801,535,804,302.72576904296875
55,535.6529041287614,128.8481455563331,13,4.898746818435677,3.3498081318351556,0.7296608671767802,19.794065423841488,109.92308044433594,159.0,12.465107917785645,20.740591049194336,534,127,539,131,402.6215515136719
56,547.8597104343485,218.86520219670496,14,6.683766638907472,2.781263522561938,0.9093087121712009,-53.216207845547565,143.07142639160156,365.0,18.08116912841797,55.64548873901367,546,216,551,222,313.2120666503906
57,556.6722244975387,747.2092267495217,157,21.063351700555703,9.979415541566022,0.8806427068376765,-12.635782276586399,5489.853515625,166746.0,920.190185546875,28111.595703125,547,742,570,754,250.87599182128906
