frame_a,frame_b,overall,peak_presence_jaccard,peak_roi_area_cosine,same_window_acf_shifted_median,all_window_acf_frame_median
9.8GPa,1GPa,0.425126,0.326582,0.0182996,0.894033,0.843506
9.8GPa,1.3GPa,0.393725,0.254848,0.0223189,0.869237,0.826572
9.8GPa,1.5GPa,0.422585,0.30829,0.0273276,0.906111,0.835083
9.8GPa,2.3GPa,0.401061,0.26799,0.0231131,0.863541,0.850817
9.8GPa,2.4GPa_decomp,0.368965,0.235988,0.0443869,0.793673,0.762126
9.8GPa,3.9GPa,0.403646,0.258228,0.0315141,0.901797,0.823015
9.8GPa,5GPa,0.452203,0.29199,0.117999,0.937614,0.84723
9.8GPa,6.2GPa,0.521508,0.264484,0.382442,0.94036,0.840897
9.8GPa,6.6GPa,0.38422,0.238227,0.0217718,0.852409,0.825517
9.8GPa,7.4GPa,0.643065,0.299742,0.715344,0.973526,0.858981
9.8GPa,8.5GPa,0.711211,0.32967,0.908758,0.97316,0.857112
10.4GPa,0.7GPa,0.501502,0.246719,0.33124,0.94869,0.840268
10.4GPa,1GPa,0.411014,0.271144,0.118476,0.827646,0.766941
10.4GPa,1.3GPa,0.521214,0.22905,0.424168,0.936363,0.843488
10.4GPa,1.5GPa,0.389977,0.220844,0.103044,0.834273,0.766091
10.4GPa,2.3GPa,0.40937,0.273657,0.108684,0.810033,0.793189
10.4GPa,2.4GPa_decomp,0.408087,0.180233,0.143339,0.889973,0.826731
10.4GPa,3.9GPa,0.383697,0.222222,0.0991757,0.816559,0.752363
10.4GPa,5GPa,0.383763,0.242347,0.0343385,0.860314,0.777181
10.4GPa,6.2GPa,0.374639,0.247449,0.032188,0.816233,0.767527
10.4GPa,6.6GPa,0.601618,0.219101,0.727169,0.918157,0.821005
10.4GPa,7.4GPa,0.384517,0.286089,0.0176716,0.814871,0.774069
10.4GPa,8.5GPa,0.370931,0.23622,0.0159622,0.831502,0.781096
10.4GPa,9.8GPa,0.373156,0.243038,0.0154281,0.825961,0.788479
12.8GPa,0.7GPa,0.404331,0.242667,0.0220307,0.909653,0.872387
12.8GPa,1GPa,0.410832,0.303896,0.0184312,0.879956,0.819653
12.8GPa,1.3GPa,0.399661,0.217514,0.021407,0.92708,0.877953
12.8GPa,1.5GPa,0.401472,0.257812,0.0330385,0.88838,0.824334
12.8GPa,2.3GPa,0.40566,0.280105,0.00839785,0.887538,0.850642
12.8GPa,2.4GPa_decomp,0.416769,0.244514,0.0783594,0.899217,0.852255
12.8GPa,3.9GPa,0.378599,0.224227,0.0223926,0.861972,0.806717
12.8GPa,5GPa,0.41868,0.261214,0.0552543,0.919283,0.845486
12.8GPa,6.2GPa,0.427289,0.253264,0.131906,0.878842,0.822044
12.8GPa,6.6GPa,0.392511,0.203966,0.0406339,0.907801,0.849152
12.8GPa,7.4GPa,0.459481,0.262467,0.215772,0.890753,0.831566
12.8GPa,8.5GPa,0.466064,0.238606,0.267742,0.885163,0.834648
12.8GPa,9.8GPa,0.499124,0.313351,0.293225,0.886566,0.827805
12.8GPa,10.4GPa,0.402082,0.234211,0.0248808,0.926353,0.84916
13.3GPa,0.7GPa,0.446324,0.261364,0.139952,0.928807,0.847328
13.3GPa,1GPa,0.395966,0.24031,0.100982,0.833192,0.766165
13.3GPa,1.3GPa,0.452388,0.243161,0.177826,0.929902,0.853026
13.3GPa,1.5GPa,0.379854,0.216359,0.0669263,0.838185,0.776088
13.3GPa,2.3GPa,0.368328,0.225722,0.026568,0.808986,0.797051
13.3GPa,2.4GPa_decomp,0.403473,0.194268,0.107266,0.885115,0.841842
13.3GPa,3.9GPa,0.364244,0.21123,0.0532243,0.805727,0.754675
13.3GPa,5GPa,0.385956,0.252747,0.02389,0.856176,0.793948
13.3GPa,6.2GPa,0.369693,0.231183,0.0217517,0.829139,0.776173
13.3GPa,6.6GPa,0.546342,0.221212,0.536065,0.914473,0.83469
13.3GPa,7.4GPa,0.383612,0.257534,0.0148693,0.852409,0.790213
13.3GPa,8.5GPa,0.362135,0.19891,0.0140444,0.852609,0.785208
13.3GPa,9.8GPa,0.371433,0.233244,0.016623,0.83294,0.788152
13.3GPa,10.4GPa,0.616959,0.299419,0.6385,0.967823,0.846988
13.3GPa,12.8GPa,0.390332,0.206612,0.0254481,0.907682,0.858982
15.6GPa,0.7GPa,0.609696,0.286104,0.659685,0.931002,0.836362
15.6GPa,1GPa,0.432453,0.245098,0.192537,0.838046,0.808657
15.6GPa,1.3GPa,0.617979,0.312312,0.653013,0.924507,0.852431
15.6GPa,1.5GPa,0.451978,0.27013,0.209,0.864569,0.812123
15.6GPa,2.3GPa,0.44352,0.275773,0.176832,0.847521,0.829641
15.6GPa,2.4GPa_decomp,0.438192,0.21021,0.227525,0.860221,0.82878
15.6GPa,3.9GPa,0.392424,0.255875,0.061779,0.824869,0.795739
15.6GPa,5GPa,0.406191,0.297587,0.0316492,0.856429,0.808366
15.6GPa,6.2GPa,0.388095,0.259067,0.0339008,0.832869,0.804517
15.6GPa,6.6GPa,0.551597,0.224432,0.540208,0.931222,0.831591
15.6GPa,7.4GPa,0.383784,0.242347,0.0215342,0.854744,0.810358
15.6GPa,8.5GPa,0.37097,0.2,0.0183873,0.86946,0.810412
15.6GPa,9.8GPa,0.382278,0.254499,0.02253,0.828771,0.804603
15.6GPa,10.4GPa,0.586365,0.283784,0.591129,0.935107,0.817868
15.6GPa,12.8GPa,0.396718,0.242667,0.0209367,0.880409,0.862815
15.6GPa,13.3GPa,0.468096,0.290698,0.20103,0.902856,0.836475
