peak_group,group_two_theta,reliable,coverage_fraction,detected_frame_count,detected_fraction,roi_presence_count,roi_fraction,roi_presence_threshold,max_roi_area
60,4.1786,1,0.529412,9,0.529412,3,0.176471,0.00036101,0.0036101
61,4.2134,1,0.588235,8,0.470588,10,0.588235,0.0001,0.000863716
62,4.2472,1,0.647059,8,0.470588,11,0.647059,0.0001,0.000405297
63,4.2872,1,0.352941,6,0.352941,3,0.176471,0.0001,0.000216415
64,4.3064,0,0.176471,3,0.176471,3,0.176471,0.0001,0.000317277
65,4.3653,1,0.588235,10,0.588235,3,0.176471,0.0001,0.000184001
66,4.4045,0,0.0588235,1,0.0588235,1,0.0588235,0.0001,0.000112663
67,4.4327,0,0.294118,3,0.176471,5,0.294118,0.000160469,0.00160469
68,4.4761,1,0.647059,11,0.647059,1,0.0588235,0.000651849,0.00651849
69,4.5091,1,0.647059,11,0.647059,2,0.117647,0.000879224,0.00879224
70,4.5321,0,0.235294,4,0.235294,2,0.117647,0.000746781,0.00746781
71,4.5727,1,0.529412,9,0.529412,3,0.176471,0.00048081,0.0048081
72,4.6017,1,0.470588,8,0.470588,7,0.411765,0.000243707,0.00243707
73,4.6343,1,0.705882,11,0.647059,12,0.705882,0.0001,0.00063341
74,4.6735,1,0.705882,12,0.705882,6,0.352941,0.0001,0.000257337
75,4.7191,0,0.294118,4,0.235294,5,0.294118,0.0001,0.000458443
76,4.744,1,0.529412,9,0.529412,7,0.411765,0.0001,0.000312012
77,4.7735,1,0.470588,8,0.470588,8,0.470588,0.0001,0.000314342
78,4.8,1,0.411765,7,0.411765,4,0.235294,0.0001,0.000422781
79,4.8491,1,0.529412,9,0.529412,5,0.294118,0.0001,0.000753101
80,4.868,1,0.647059,11,0.647059,3,0.176471,0.0001,0.000408797
81,4.8999,1,0.647059,11,0.647059,7,0.411765,0.0001,0.000877033
82,4.9357,1,0.647059,11,0.647059,9,0.529412,0.0001,0.000533564
83,4.9669,1,0.647059,11,0.647059,10,0.588235,0.0001,0.000250095
84,4.9966,1,0.411765,7,0.411765,5,0.294118,0.0001,0.00046498
85,5.0238,1,0.352941,6,0.352941,3,0.176471,0.0001,0.000434451
86,5.0643,1,0.529412,9,0.529412,8,0.470588,0.0001,0.000574889
87,5.0847,0,0.176471,3,0.176471,3,0.176471,0.0001,0.000146766
88,5.1278,0,0.705882,4,0.235294,12,0.705882,0.0001,0.000975237
89,5.1607,1,0.647059,6,0.352941,11,0.647059,0.0001,0.000635786
90,5.1889,1,0.588235,10,0.588235,10,0.588235,0.0001,0.000710836
91,5.2216,1,0.352941,5,0.294118,6,0.352941,0.0001,0.000864171
92,5.2483,0,0.235294,4,0.235294,4,0.235294,0.0001,0.000238686
93,5.2938,1,0.470588,8,0.470588,5,0.294118,0.0001,0.000324021
94,5.3292,1,0.588235,10,0.588235,6,0.352941,0.0001,0.000525042
95,5.3586,1,0.470588,8,0.470588,7,0.411765,0.0001,0.00063849
96,5.3902,1,0.470588,8,0.470588,6,0.352941,0.0001,0.000625038
97,5.4255,1,0.470588,6,0.352941,8,0.470588,0.0001,0.000801163
98,5.4685,1,0.352941,6,0.352941,6,0.352941,0.0001,0.000950869
99,5.4991,1,0.529412,9,0.529412,2,0.117647,0.0001,0.000766985
100,5.5538,1,0.470588,8,0.470588,8,0.470588,0.0001,0.000324126
101,5.5845,1,0.705882,12,0.705882,5,0.294118,0.0001,0.000571411
102,5.6117,1,0.588235,10,0.588235,7,0.411765,0.0001,0.000462346
103,5.6597,1,0.470588,8,0.470588,3,0.176471,0.0001,0.000349241
104,5.6887,1,0.470588,8,0.470588,2,0.117647,0.0001,0.000110416
105,5.7227,0,0.235294,4,0.235294,3,0.176471,0.000162801,0.00162801
106,5.7669,1,0.411765,7,0.411765,4,0.235294,0.000538735,0.00538735
107,5.8057,1,0.352941,6,0.352941,5,0.294118,0.00123464,0.0123464
108,5.8404,1,0.588235,10,0.588235,7,0.411765,0.00144141,0.0144141
109,5.8754,0,0.411765,3,0.176471,7,0.411765,0.000921336,0.00921336
110,5.9152,0,0.529412,4,0.235294,9,0.529412,0.00103468,0.0103468
111,5.954,1,0.411765,7,0.411765,6,0.352941,0.000731608,0.00731608
112,5.9941,1,0.411765,7,0.411765,5,0.294118,0.000364821,0.00364821
113,6.0269,1,0.588235,5,0.294118,10,0.588235,0.000261824,0.00261824
114,6.0494,0,0.235294,4,0.235294,4,0.235294,0.0001,0.000469564
115,6.0961,1,0.352941,6,0.352941,5,0.294118,0.00061075,0.0061075
116,6.1355,1,0.470588,8,0.470588,3,0.176471,0.0001,0.000788178
117,6.1656,0,0.235294,3,0.176471,4,0.235294,0.0014788,0.014788
118,6.2044,1,0.294118,5,0.294118,4,0.235294,0.000109247,0.00109247
119,6.2312,0,0.235294,4,0.235294,3,0.176471,0.00048472,0.0048472
120,6.262,1,0.470588,8,0.470588,4,0.235294,0.00175493,0.0175493
121,6.3,1,0.647059,11,0.647059,2,0.117647,0.00261819,0.0261819
122,6.3258,1,0.352941,6,0.352941,3,0.176471,0.00270855,0.0270855
123,6.3529,0,0.235294,4,0.235294,4,0.235294,0.00238639,0.0238639
124,6.3815,0,0.176471,3,0.176471,3,0.176471,0.00179511,0.0179511
125,6.4349,1,0.352941,6,0.352941,4,0.235294,0.00215853,0.0215853
126,6.4505,1,0.411765,7,0.411765,5,0.294118,0.000815163,0.00815163
127,6.4877,1,0.411765,7,0.411765,4,0.235294,0.00143416,0.0143416
128,6.521,1,0.352941,6,0.352941,2,0.117647,0.0028928,0.028928
129,6.5454,1,0.529412,9,0.529412,3,0.176471,0.0023226,0.023226
130,6.5893,1,0.529412,9,0.529412,5,0.294118,0.00171525,0.0171525
131,6.6195,0,0.235294,4,0.235294,4,0.235294,0.00113613,0.0113613
132,6.6504,0,0.235294,4,0.235294,2,0.117647,0.0025918,0.025918
133,6.6631,1,0.294118,5,0.294118,2,0.117647,0.0018489,0.018489
134,6.698,1,0.294118,5,0.294118,3,0.176471,0.00135134,0.0135134
135,6.7464,0,0.235294,4,0.235294,3,0.176471,0.00244495,0.0244495
136,6.7745,1,0.294118,5,0.294118,2,0.117647,0.00302108,0.0302108
137,6.7928,0,0.235294,4,0.235294,3,0.176471,0.00336666,0.0336666
138,6.8244,0,0.235294,4,0.235294,2,0.117647,0.00179174,0.0179174
139,6.863,1,0.411765,7,0.411765,4,0.235294,0.00255346,0.0255346
140,6.8883,1,0.411765,7,0.411765,3,0.176471,0.001758,0.01758
141,6.9334,1,0.411765,7,0.411765,3,0.176471,0.00149324,0.0149324
142,6.9671,0,0.235294,4,0.235294,4,0.235294,0.000312977,0.00312977
143,6.9986,1,0.588235,10,0.588235,6,0.352941,0.000239266,0.00239266
144,7.0391,1,0.352941,6,0.352941,4,0.235294,0.00112701,0.0112701
145,7.0643,0,0.235294,3,0.176471,4,0.235294,0.00156695,0.0156695
146,7.1004,0,0.235294,2,0.117647,4,0.235294,0.00236015,0.0236015
147,7.1251,1,0.294118,5,0.294118,1,0.0588235,0.00194189,0.0194189
148,7.1621,1,0.294118,5,0.294118,1,0.0588235,0.00129957,0.0129957
149,7.224,1,0.470588,8,0.470588,2,0.117647,0.000205354,0.00205354
150,7.2605,0,0.176471,3,0.176471,2,0.117647,0.0001,0.000453984
151,7.3076,1,0.529412,9,0.529412,2,0.117647,0.0001,0.000270572
152,7.3385,1,0.529412,9,0.529412,6,0.352941,0.0001,0.000611466
153,7.3737,1,0.705882,8,0.470588,12,0.705882,0.0001,0.00069595
154,7.3967,1,0.529412,8,0.470588,9,0.529412,0.0001,0.000733475
155,7.4391,1,0.647059,11,0.647059,8,0.470588,0.000104703,0.00104703
156,7.4573,1,0.705882,12,0.705882,11,0.647059,0.0001,0.00080781
157,7.4887,0,0.117647,2,0.117647,2,0.117647,0.0001,0.00056839
158,7.5451,1,0.294118,5,0.294118,2,0.117647,0.00686224,0.0686224
159,7.5834,1,0.529412,9,0.529412,3,0.176471,0.00912399,0.0912399
160,7.5997,1,0.647059,11,0.647059,3,0.176471,0.00872416,0.0872416
161,7.6465,1,0.647059,11,0.647059,4,0.235294,0.00913934,0.0913934
162,7.6785,1,0.470588,8,0.470588,2,0.117647,0.00750834,0.0750834
163,7.714,1,0.470588,8,0.470588,2,0.117647,0.00514088,0.0514088
164,7.7429,1,0.352941,6,0.352941,4,0.235294,0.00325229,0.0325229
165,7.7985,1,0.529412,9,0.529412,4,0.235294,0.00852417,0.0852417
