frame_a,frame_b,overall,peak_presence_jaccard,peak_roi_area_cosine,same_window_acf_shifted_median,all_window_acf_frame_median
15.6GPa,2.4GPa_decomp,0.47904,0.237762,0.331541,0.860221,0.82878
15.6GPa,3.9GPa,0.409659,0.294498,0.0741679,0.824869,0.795739
15.6GPa,5GPa,0.421942,0.334395,0.0412102,0.856429,0.808366
15.6GPa,6.2GPa,0.402284,0.298413,0.0352927,0.832869,0.804517
15.6GPa,6.6GPa,0.579507,0.255814,0.596629,0.931222,0.831591
15.6GPa,7.4GPa,0.397739,0.281818,0.0219994,0.854744,0.810358
15.6GPa,8.5GPa,0.379607,0.223565,0.0196845,0.86946,0.810412
15.6GPa,9.8GPa,0.392607,0.289634,0.0159696,0.828771,0.804603
15.6GPa,10.4GPa,0.597808,0.3125,0.59577,0.935107,0.817868
15.6GPa,12.8GPa,0.426965,0.275641,0.0832887,0.880409,0.862815
15.6GPa,13.3GPa,0.498573,0.327586,0.259585,0.902856,0.836475
