peak_group,group_two_theta,suspected_static,coverage_fraction,detected_frame_count,detected_fraction,roi_presence_count,roi_fraction,roi_presence_threshold,max_roi_area,position_frames,median_detected_two_theta,position_mad_deg,position_range_deg,slope_deg_per_gpa,frames_detected
51,3.8753,0,0.411765,2,0.117647,7,0.411765,0.000463558,0.00463558,2,3.87865,0.0070115,0.014023,0.00483552,10.4GPa;13.3GPa
52,3.9157,0,0.352941,6,0.352941,6,0.352941,0.0001,0.000610764,6,3.91402,0.000312,0.028047,-0.00101288,0.7GPa;10.4GPa;13.3GPa;1GPa;2.3GPa;6.6GPa
53,3.9485,0,0.352941,6,0.352941,5,0.294118,0.0001,0.000447753,6,3.95877,0.003,0.020023,-0.000846081,1.5GPa;15.6GPa;1GPa;5GPa;6.2GPa;6.6GPa
54,3.9838,0,0.411765,3,0.176471,7,0.411765,0.0001,0.000720225,3,3.98382,0,0.006231,-0.000826831,0.7GPa;1.3GPa;8.5GPa
55,4.0111,0,0.529412,9,0.529412,5,0.294118,0.0001,0.000472733,9,4.01187,0.002647,0.01667,0.00133314,0.7GPa;12.8GPa;13.3GPa;5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
56,4.0518,0,0.529412,9,0.529412,1,0.0588235,0.000590629,0.00590629,9,4.05394,0.002729,0.016752,-0.000248713,1.3GPa;1.5GPa;10.4GPa;13.3GPa;15.6GPa;2.3GPa;3.9GPa;6.2GPa;8.5GPa
57,4.0801,0,0.411765,7,0.411765,1,0.0588235,0.000934548,0.00934548,7,4.08199,0.006313,0.015815,-0.000293736,13.3GPa;1GPa;2.3GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
58,4.1146,0,0.411765,7,0.411765,1,0.0588235,0.00104251,0.0104251,7,4.11993,0,0.019942,-9.12385e-05,0.7GPa;1.5GPa;12.8GPa;13.3GPa;1GPa;2.4GPa_decomp;7.4GPa
59,4.1424,0,0.352941,6,0.352941,1,0.0588235,0.000958306,0.00958306,6,4.14482,0.007283,0.016358,0.000938597,1.5GPa;10.4GPa;15.6GPa;1GPa;2.3GPa;6.6GPa
60,4.1786,0,0.529412,9,0.529412,3,0.176471,0.00036101,0.0036101,9,4.18015,0.003043,0.017066,-0.000157288,1.3GPa;10.4GPa;13.3GPa;15.6GPa;2.3GPa;3.9GPa;5GPa;7.4GPa;8.5GPa
61,4.2134,0,0.588235,8,0.470588,10,0.588235,0.0001,0.000863716,8,4.21482,0.0033135,0.023212,0.000156259,0.7GPa;1.3GPa;12.8GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa
62,4.2472,0,0.647059,8,0.470588,11,0.647059,0.0001,0.000405297,8,4.25026,0.0060015,0.031631,-7.00242e-05,0.7GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa;1GPa;6.2GPa;9.8GPa
63,4.2872,0,0.352941,6,0.352941,3,0.176471,0.0001,0.000216415,6,4.28611,0.0077935,0.015815,0.000671543,1.3GPa;12.8GPa;1GPa;2.4GPa_decomp;5GPa;8.5GPa
64,4.3064,0,0.176471,3,0.176471,3,0.176471,0.0001,0.000317277,3,4.30636,0,0.014023,0.00113497,0.7GPa;13.3GPa;6.6GPa
65,4.3653,0,0.588235,10,0.588235,3,0.176471,0.0001,0.000184001,10,4.37298,0.0035,0.028047,0.000292159,1.3GPa;1.5GPa;10.4GPa;13.3GPa;15.6GPa;1GPa;2.3GPa;3.9GPa;7.4GPa;9.8GPa
66,4.4045,0,0.0588235,1,0.0588235,1,0.0588235,0.0001,0.000112663,1,4.40452,0,0,,13.3GPa
67,4.4327,0,0.294118,3,0.176471,5,0.294118,0.000160469,0.00160469,3,4.43257,0,0.014023,0.00258155,10.4GPa;13.3GPa;15.6GPa
68,4.4761,0,0.647059,11,0.647059,1,0.0588235,0.000651849,0.00651849,11,4.48369,0,0.028047,0.000763579,0.7GPa;1.3GPa;1.5GPa;12.8GPa;1GPa;2.4GPa_decomp;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
69,4.5091,0,0.647059,11,0.647059,2,0.117647,0.000879224,0.00879224,11,4.50269,0.003186,0.017209,0.000569506,1.3GPa;1.5GPa;10.4GPa;13.3GPa;1GPa;2.3GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;9.8GPa
70,4.5321,0,0.235294,4,0.235294,2,0.117647,0.000746781,0.00746781,4,4.53794,0.0068125,0.015816,0.00010831,10.4GPa;12.8GPa;3.9GPa;7.4GPa
71,4.5727,0,0.529412,9,0.529412,3,0.176471,0.00048081,0.0048081,9,4.56276,0,0.024064,-0.000271672,0.7GPa;10.4GPa;12.8GPa;1GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;8.5GPa
72,4.6017,0,0.470588,8,0.470588,7,0.411765,0.000243707,0.00243707,8,4.59762,0.0032285,0.02048,-0.00016249,1.3GPa;1.5GPa;15.6GPa;2.4GPa_decomp;5GPa;6.2GPa;8.5GPa;9.8GPa
73,4.6343,1,0.705882,11,0.647059,12,0.705882,0.0001,0.00063341,11,4.64184,0.001081,0.016896,-0.000433191,0.7GPa;1.3GPa;1.5GPa;10.4GPa;13.3GPa;1GPa;2.4GPa_decomp;6.6GPa;7.4GPa;8.5GPa;9.8GPa
74,4.6735,0,0.705882,12,0.705882,6,0.352941,0.0001,0.000257337,12,4.68499,0.004296,0.031631,0.0012503,0.7GPa;1.3GPa;1.5GPa;12.8GPa;13.3GPa;15.6GPa;1GPa;2.3GPa;5GPa;7.4GPa;8.5GPa;9.8GPa
75,4.7191,0,0.294118,4,0.235294,5,0.294118,0.0001,0.000458443,4,4.72092,0,0.00788,0.000995043,1.3GPa;3.9GPa;5GPa;8.5GPa
76,4.744,0,0.529412,9,0.529412,7,0.411765,0.0001,0.000312012,9,4.75255,0.002559,0.018375,-0.000328962,0.7GPa;1.5GPa;10.4GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;7.4GPa
77,4.7735,0,0.470588,8,0.470588,8,0.470588,0.0001,0.000314342,8,4.76913,0.000767,0.015816,-0.000463546,0.7GPa;1.5GPa;13.3GPa;1GPa;2.3GPa;6.2GPa;6.6GPa;8.5GPa
78,4.8,0,0.411765,7,0.411765,4,0.235294,0.0001,0.000422781,7,4.79999,0,0.018632,-0.000113331,1.5GPa;1GPa;2.3GPa;3.9GPa;6.6GPa;7.4GPa;8.5GPa
79,4.8491,0,0.529412,9,0.529412,5,0.294118,0.0001,0.000753101,9,4.84744,0.00583,0.028046,0.000396735,0.7GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa;2.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa
80,4.868,0,0.647059,11,0.647059,3,0.176471,0.0001,0.000408797,11,4.86326,0,0.018061,-2.94761e-05,1.3GPa;10.4GPa;12.8GPa;1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;7.4GPa
81,4.8999,0,0.647059,11,0.647059,7,0.411765,0.0001,0.000877033,11,4.89534,0.000453,0.015815,-0.00102548,0.7GPa;1.3GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa;1GPa;2.4GPa_decomp;5GPa;7.4GPa;9.8GPa
82,4.9357,0,0.647059,11,0.647059,9,0.529412,0.0001,0.000533564,11,4.93741,0.010893,0.028047,-9.80521e-06,0.7GPa;1.5GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa;1GPa;2.4GPa_decomp;3.9GPa;5GPa;9.8GPa
83,4.9669,0,0.647059,11,0.647059,10,0.588235,0.0001,0.000250095,11,4.97396,0.005517,0.021332,0.00011164,0.7GPa;1.3GPa;1.5GPa;10.4GPa;12.8GPa;1GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;8.5GPa
84,4.9966,0,0.411765,7,0.411765,5,0.294118,0.0001,0.00046498,7,4.9935,0.003724,0.017747,0.000475798,0.7GPa;10.4GPa;13.3GPa;1GPa;6.6GPa;7.4GPa;8.5GPa
85,5.0238,0,0.352941,6,0.352941,3,0.176471,0.0001,0.000434451,6,5.03557,0.001652,0.015815,0.00109571,10.4GPa;12.8GPa;15.6GPa;2.3GPa;6.2GPa;6.6GPa
86,5.0643,0,0.529412,9,0.529412,8,0.470588,0.0001,0.000574889,9,5.06886,0.005236,0.024603,-0.0014452,1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa;7.4GPa;8.5GPa
87,5.0847,0,0.176471,3,0.176471,3,0.176471,0.0001,0.000146766,3,5.08467,0,0,0,1.5GPa;3.9GPa;6.2GPa
88,5.1278,0,0.705882,4,0.235294,12,0.705882,0.0001,0.000975237,4,5.13212,0.0008095,0.014024,-0.000652091,10.4GPa;13.3GPa;1GPa;9.8GPa
89,5.1607,0,0.647059,6,0.352941,11,0.647059,0.0001,0.000635786,6,5.16277,0.0009825,0.015989,-0.000154569,0.7GPa;10.4GPa;1GPa;6.6GPa;7.4GPa;8.5GPa
90,5.1889,0,0.588235,10,0.588235,10,0.588235,0.0001,0.000710836,10,5.19261,0.002775,0.02429,0.000527453,1.3GPa;10.4GPa;12.8GPa;15.6GPa;1GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa
91,5.2216,0,0.352941,5,0.294118,6,0.352941,0.0001,0.000864171,5,5.2112,0,0.015816,-0.000108005,12.8GPa;13.3GPa;1GPa;2.3GPa;2.4GPa_decomp
92,5.2483,0,0.235294,4,0.235294,4,0.235294,0.0001,0.000238686,4,5.25139,0.0085605,0.017121,0.000395053,0.7GPa;10.4GPa;2.3GPa;6.2GPa
93,5.2938,0,0.470588,8,0.470588,5,0.294118,0.0001,0.000324021,8,5.29615,0.007908,0.031631,-0.00212309,0.7GPa;1.5GPa;1GPa;2.4GPa_decomp;5GPa;6.6GPa;7.4GPa;9.8GPa
94,5.3292,0,0.588235,10,0.588235,6,0.352941,0.0001,0.000525042,10,5.33007,0.008161,0.028046,-9.36381e-05,0.7GPa;1.3GPa;1.5GPa;10.4GPa;13.3GPa;15.6GPa;1GPa;2.3GPa;6.6GPa;9.8GPa
95,5.3586,0,0.470588,8,0.470588,7,0.411765,0.0001,0.00063849,8,5.35811,0.004577,0.015816,0.000318575,0.7GPa;1.3GPa;1.5GPa;12.8GPa;15.6GPa;1GPa;2.3GPa;3.9GPa
96,5.3902,0,0.470588,8,0.470588,6,0.352941,0.0001,0.000625038,8,5.39267,0.007508,0.015816,0.000548567,1.5GPa;12.8GPa;15.6GPa;2.3GPa;5GPa;6.2GPa;7.4GPa;9.8GPa
97,5.4255,0,0.470588,6,0.352941,8,0.470588,0.0001,0.000801163,6,5.42251,0.005716,0.025455,5.94531e-05,15.6GPa;2.3GPa;2.4GPa_decomp;6.2GPa;6.6GPa;9.8GPa
98,5.4685,0,0.352941,6,0.352941,6,0.352941,0.0001,0.000950869,6,5.46424,0.006055,0.014024,0.00101546,0.7GPa;1.3GPa;10.4GPa;12.8GPa;13.3GPa;8.5GPa
99,5.4991,0,0.529412,9,0.529412,2,0.117647,0.0001,0.000766985,9,5.51169,0.000679,0.016495,0.000571461,1.3GPa;1.5GPa;10.4GPa;15.6GPa;1GPa;2.3GPa;3.9GPa;5GPa;7.4GPa
100,5.5538,0,0.470588,8,0.470588,8,0.470588,0.0001,0.000324126,8,5.54332,0.002905,0.032744,0.000541431,0.7GPa;12.8GPa;13.3GPa;15.6GPa;5GPa;6.6GPa;7.4GPa;9.8GPa
101,5.5845,1,0.705882,12,0.705882,5,0.294118,0.0001,0.000571411,12,5.58249,0.0079075,0.022305,0.000609181,1.3GPa;1.5GPa;10.4GPa;12.8GPa;13.3GPa;1GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa
102,5.6117,0,0.588235,10,0.588235,7,0.411765,0.0001,0.000462346,10,5.60856,0.001975,0.017973,0.000511697,0.7GPa;12.8GPa;13.3GPa;15.6GPa;1GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa
103,5.6597,0,0.470588,8,0.470588,3,0.176471,0.0001,0.000349241,8,5.65403,0.0062985,0.031631,-0.00250891,1.3GPa;12.8GPa;1GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;9.8GPa
104,5.6887,0,0.470588,8,0.470588,2,0.117647,0.0001,0.000110416,8,5.69017,0.0045065,0.028047,-0.00014485,0.7GPa;1.3GPa;1.5GPa;15.6GPa;5GPa;6.2GPa;6.6GPa;8.5GPa
105,5.7227,0,0.235294,4,0.235294,3,0.176471,0.000162801,0.00162801,4,5.72791,0.005193,0.015815,0.00211163,10.4GPa;7.4GPa;8.5GPa;9.8GPa
106,5.7669,0,0.411765,7,0.411765,4,0.235294,0.000538735,0.00538735,7,5.76474,0.014076,0.031631,-0.000669296,1.3GPa;13.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;8.5GPa;9.8GPa
107,5.8057,0,0.352941,6,0.352941,5,0.294118,0.00123464,0.0123464,6,5.79637,0.003532,0.019348,-0.000598737,1.5GPa;10.4GPa;15.6GPa;1GPa;6.2GPa;9.8GPa
108,5.8404,0,0.588235,10,0.588235,7,0.411765,0.00144141,0.0144141,10,5.84382,0.005115,0.024723,0.00058763,0.7GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa;2.3GPa;2.4GPa_decomp;6.6GPa;7.4GPa;8.5GPa
109,5.8754,0,0.411765,3,0.176471,7,0.411765,0.000921336,0.00921336,3,5.87545,0,0.015815,0.00160969,12.8GPa;2.4GPa_decomp;3.9GPa
110,5.9152,0,0.529412,4,0.235294,9,0.529412,0.00103468,0.0103468,4,5.91498,0.0079075,0.015815,-0.00116367,12.8GPa;1GPa;5GPa;6.2GPa
111,5.954,0,0.411765,7,0.411765,6,0.352941,0.000731608,0.00731608,7,5.95452,0.006594,0.03163,0.00115285,0.7GPa;12.8GPa;13.3GPa;15.6GPa;7.4GPa;8.5GPa;9.8GPa
112,5.9941,0,0.411765,7,0.411765,5,0.294118,0.000364821,0.00364821,7,5.98916,0.00301,0.017033,6.45125e-05,1.5GPa;10.4GPa;12.8GPa;13.3GPa;2.4GPa_decomp;3.9GPa;6.6GPa
113,6.0269,0,0.588235,5,0.294118,10,0.588235,0.000261824,0.00261824,5,6.0336,0,0.01639,-0.000111771,1.5GPa;10.4GPa;12.8GPa;1GPa;2.3GPa
114,6.0494,0,0.235294,4,0.235294,4,0.235294,0.0001,0.000469564,4,6.04942,0,0,0,1.5GPa;12.8GPa;1GPa;2.3GPa
115,6.0961,0,0.352941,6,0.352941,5,0.294118,0.00061075,0.0061075,6,6.09209,0.007012,0.020304,8.27751e-05,1.5GPa;10.4GPa;13.3GPa;1GPa;2.4GPa_decomp;6.2GPa
116,6.1355,0,0.470588,8,0.470588,3,0.176471,0.0001,0.000788178,8,6.12849,0.0079075,0.031631,-0.00102242,1.5GPa;12.8GPa;1GPa;2.3GPa;2.4GPa_decomp;5GPa;7.4GPa;8.5GPa
117,6.1656,0,0.235294,3,0.176471,4,0.235294,0.0014788,0.014788,3,6.16012,0,0.015816,0.00378531,1.5GPa;3.9GPa;5GPa
118,6.2044,0,0.294118,5,0.294118,4,0.235294,0.000109247,0.00109247,5,6.19175,0,0.015815,-0.00206347,2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa
119,6.2312,0,0.235294,4,0.235294,3,0.176471,0.00048472,0.0048472,4,6.22339,0,0.015815,-0.000132063,1GPa;2.4GPa_decomp;3.9GPa;9.8GPa
120,6.262,0,0.470588,8,0.470588,4,0.235294,0.00175493,0.0175493,8,6.26292,0.0079075,0.015815,-0.000165902,1.5GPa;12.8GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa
121,6.3,0,0.647059,11,0.647059,2,0.117647,0.00261819,0.0261819,11,6.28665,0,0.028047,0.000766934,0.7GPa;1.5GPa;10.4GPa;12.8GPa;15.6GPa;2.3GPa;2.4GPa_decomp;3.9GPa;6.2GPa;7.4GPa;8.5GPa
122,6.3258,0,0.352941,6,0.352941,3,0.176471,0.00270855,0.0270855,6,6.32991,0.0070115,0.021469,0.000905116,1.3GPa;15.6GPa;1GPa;2.3GPa;2.4GPa_decomp;5GPa
