peak_group,group_two_theta,frame_count,frames_present,max_normalized_intensity,tier_a_count,tier_b_count,tier_c_count,source_methods
81,4.899852,11,0.7GPa;1GPa;1.3GPa;2.4GPa_decomp;5GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.0557244,9,5,0,bump;matched;micro;raw;shoulder
82,4.935690,11,0.7GPa;1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;5GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.0136401,7,7,0,bump;matched;micro;raw;residual;shoulder
83,4.966939,11,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;8.5GPa;10.4GPa;12.8GPa,0.0235686,5,10,0,matched;micro;raw;shoulder
84,4.996627,7,0.7GPa;1GPa;6.6GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa,0.011543,2,5,0,matched;micro;raw;shoulder
85,5.023801,6,2.3GPa;6.2GPa;6.6GPa;10.4GPa;12.8GPa;15.6GPa,0.00993146,2,5,0,matched;micro;raw;shoulder
86,5.064313,9,1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa;7.4GPa;8.5GPa,0.0277998,6,3,0,bump;matched;micro;raw;shoulder
87,5.084672,3,1.5GPa;3.9GPa;6.2GPa,4.01947e-06,2,1,0,micro;shoulder
88,5.127808,4,1GPa;9.8GPa;10.4GPa;13.3GPa,0.0196261,2,3,0,matched;micro;raw;shoulder
89,5.160655,6,0.7GPa;1GPa;6.6GPa;7.4GPa;8.5GPa;10.4GPa,0.0159736,4,4,0,bump;matched;micro;raw;shoulder
90,5.188890,10,1GPa;1.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa;10.4GPa;12.8GPa;15.6GPa,0.0525019,11,4,0,bump;matched;micro;raw;shoulder
91,5.221552,5,1GPa;2.3GPa;2.4GPa_decomp;12.8GPa;13.3GPa,0.0237016,4,4,0,matched;micro;raw;residual;shoulder
