frame,path,two_theta,normalized_intensity,prominence,width_deg,peak_group,group_two_theta,delta_from_group,source_methods,source_count,confidence_tier,tier_score,accepted_standard,raw_intensity,residual_height,conventional_prominence,matched_filter_responses,best_matched_scale,best_matched_response,local_center_height,left_side_rise,right_side_rise,two_sided_contrast,local_noise,local_shape_snr,local_slope,local_curvature,width_estimate_deg,nearest_stronger_peak_deg,likely_shoulder,top_peaks_truncated
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.540416,0.00171654,0.00171654,0.0318603,100,5.553788,-0.0133719,raw;shoulder,2,A,2207.74,1,0.0445889,-0.0164302,0.00171654,,,0,0.000255875,0.00136843,0.00129802,0.00129802,0.00167812,0.773496,0.0700346,0.000614162,0.0318603,0.0701169,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.610533,0.663769,0.663769,0,102,5.611709,-0.00117681,matched;micro;raw;shoulder,4,A,2440.58,1,0.0527502,-0.0303561,0.00523278,w2:0.663769;w3:0.491615,2,0.663769,0.00559243,0.0059074,0.00574044,0.00574044,0.00143848,3.99061,0.0562216,0.00178554,0,0.448748,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.708696,0.533692,0.533692,0.0358941,104,5.688732,0.0199643,matched;micro;raw;shoulder,4,A,2408.91,1,0.0554114,-0.0577804,0.00401437,w2:0.533692,2,0.533692,0.00123703,0.00225655,0.00380866,0.00225655,0.00269382,0.837678,0.0520192,0.00134559,0.0358941,0.0981636,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.806860,9.06594e-05,9.06594e-05,0.0231954,,,,shoulder,1,C,100,0,0.0575967,-0.0810095,9.06594e-05,,,0,-0.00238154,0.000864273,-0.000449037,-0.000449037,0.003439,-0.130572,0.0856639,0.000154504,0.0231954,0.0280467,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.834907,0.574391,0.574391,0.00728491,108,5.840394,-0.00548706,matched;raw,2,B,1202.41,1,0.0620911,-0.08496,7.11935e-05,w2:0.574391;w3:0.539507,2,0.574391,-0.00209298,0.00080234,0.00100243,0.00080234,0.00436496,0.183814,0.102375,6.38441e-05,0.00728491,0.12621,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.862953,0.00158837,0.00158837,0.100534,,,,shoulder,1,C,100.002,0,0.0638723,-0.0887415,0.00158837,,,0,-0.00296168,-0.000993,0.00139896,-0.000993,0.0025464,-0.389962,0.128917,0.000544892,0.100534,0.0280467,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.891000,0.00189249,0.00189249,0.0272986,,,,raw,1,C,100.002,0,0.0659067,-0.094365,0.00189249,,,0,-0.00735308,-0.00563532,-0.00297233,-0.00563532,0.00433942,-1.29863,0.16485,-0.000656065,0.0272986,0.0560935,0,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,5.947094,0.469984,0.469984,0.0384414,111,5.953984,-0.00689024,matched;shoulder,2,B,1200.47,1,0.0782019,-0.0938602,0.00240605,w2:0.469984,2,0.469984,-0.00975283,-0.00251254,0.000837226,-0.00251254,0.00983574,-0.25545,0.262631,0.000980265,0.0384414,0.112187,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.031234,0.00113272,0.00113272,0.034172,,,,shoulder,1,C,100.001,0,0.102243,-0.0843176,0.00113272,,,0,-0.0390872,-0.0210115,0.00383675,-0.0210115,0.0375511,-0.559545,0.725338,-0.000255267,0.034172,0.0841402,1,0
0.7GPa,Data/Cell_14_integrated/0p7GPa.xy,6.171467,0.0855966,0.0013982,0.0311856,,,,shoulder,1,C,100.001,0,0.290265,0.0855966,0.0013982,,,0,-0.0169857,0.0166672,-0.0154825,-0.0154825,0.0401223,-0.385883,1.67509,0.00029617,0.0311856,0.12621,1,0
