frame,path,two_theta,normalized_intensity,prominence,width_deg,peak_group,group_two_theta,delta_from_group,source_methods,source_count,confidence_tier,tier_score,accepted_standard,raw_intensity,residual_height,conventional_prominence,matched_filter_responses,best_matched_scale,best_matched_response,local_center_height,left_side_rise,right_side_rise,two_sided_contrast,local_noise,local_shape_snr,local_slope,local_curvature,width_estimate_deg,nearest_stronger_peak_deg,likely_shoulder,top_peaks_truncated
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.686973,0.000154871,0.000154871,0.0147905,,,,shoulder,1,C,100,0,0.0992907,-0.167133,0.000154871,,,0,-0.386857,0.239181,-0.270352,-0.270352,0.435353,-0.620995,-4.64769,-0.000186356,0.0147905,0.0316309,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.718604,0.00015834,0.00015834,0.0116492,,,,raw,1,C,100,0,0.0977735,-0.149494,0.00015834,,,0,-0.109418,0.0904384,-0.0816022,-0.0816022,0.180614,-0.451803,-1.39466,-0.000326703,0.0116492,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.734419,2.62892,2.62892,0,,,,matched,1,C,102.629,0,0.0974388,-0.144847,0,w2:2.62892,2,2.62892,-0.0413394,0.041362,-0.0327955,-0.0327955,0.0555285,-0.590606,-0.548605,-0.000186251,0,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.892574,0.000206563,0.000206563,0.0111532,,,,raw,1,C,100,0,0.0926932,-0.150492,0.000206563,,,0,-0.000772814,-5.1819e-05,6.44986e-05,-5.1819e-05,0.00178752,-0.0289892,-0.0418549,-0.000286241,0.0111532,0.0316309,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,9.924205,0.000948534,0.000948534,0.0428521,,,,shoulder,1,C,100.001,0,0.0907488,-0.150288,0.000948534,,,0,-0.000952762,-4.07048e-05,0.000252306,-4.07048e-05,0.000931759,-0.0436859,-0.0436407,0.00034484,0.0428521,0.0632619,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.003282,0.00129224,0.00129224,0.0174352,,,,raw,1,C,100.001,0,0.0891008,-0.120974,0.00129224,,,0,-0.000454964,0.000583851,-0.000206655,-0.000206655,0.000408761,-0.505562,-0.0343568,0.000176264,0.0174352,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.034913,2.02271,2.02271,0,,,,matched,1,C,104.94,0,0.0871048,-0.110617,0,w2:2.02271,2,2.02271,5.95926e-05,0.000490051,0.000268869,0.000268869,0.000921542,0.291759,-0.028984,8.61125e-05,0,0.0158155,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.066544,7.0417,7.0417,0.0215986,,,,matched;shoulder,2,C,208.994,0,0.0864005,-0.10882,0.000134314,w5:7.0417,5,7.0417,-0.000141828,0.000101935,0.000189953,0.000101935,0.000522147,0.195222,-0.0268247,0.000106475,0.0215986,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.082360,30.2153,30.2153,0,,,,matched,1,C,130.215,0,0.0861415,-0.110968,0,w8:30.2153,8,30.2153,-0.000401738,-0.00021491,-0.000119609,-0.00021491,0.000328521,-0.654173,-0.0254367,2.88965e-05,0,0.0158155,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,10.224699,2.35003e-05,2.35003e-05,0.00959482,,,,shoulder,1,C,100,0,0.0822696,-0.124255,2.35003e-05,,,0,-0.000930124,-0.000521944,-0.000600107,-0.000600107,0.000421489,-1.42377,-0.0148241,-9.54017e-05,0.00959482,0.0632619,1,0
