peak_group,group_two_theta,frame_count,frame_coverage_fraction,longest_consecutive_run,median_position,position_mad_deg,pressure_position_slope_deg_per_gpa,max_roi_area,mean_confidence_tier,tier_a_count,tier_b_count,tier_c_count,source_methods,matched_filter_scales,frames_present
31,3.163084,6,0.352941,2,3.16345,0.00727948,-0.00050681,0.00233199,2.66667,4,2,0,bump;matched;micro;raw;shoulder,3;5,0.7GPa;1GPa;6.6GPa;8.5GPa;12.8GPa;15.6GPa
32,3.189515,6,0.352941,2,3.19851,0.00411977,-0.000829737,0.00204083,2.71429,5,2,0,bump;matched;micro;raw;shoulder,2;3;5,1.3GPa;2.4GPa_decomp;6.2GPa;10.4GPa;13.3GPa;15.6GPa
33,3.226086,7,0.411765,4,3.22656,0.00770395,-0.000891448,0.000920476,2,0,7,0,matched;micro;raw;shoulder,2,1GPa;1.5GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;12.8GPa
34,3.250114,4,0.235294,2,3.25234,0.00226366,0.00185224,0.000225185,2,0,4,0,matched;micro;raw;shoulder,2,0.7GPa;1GPa;2.3GPa;8.5GPa
35,3.296676,2,0.117647,1,3.29668,0,7.9811e-17,5.76291e-05,2,0,2,0,matched;micro;raw;shoulder,2,6.6GPa;10.4GPa
36,3.387777,14,0.823529,10,3.38662,0.00701169,0.000974614,0.00577826,2.3,6,14,0,matched;micro;raw;shoulder,2;3,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa
37,3.412204,12,0.705882,9,3.40823,0,-0.000206537,0.000103855,2.33333,5,10,0,matched;micro;raw;shoulder,2;3;8,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa;9.8GPa;12.8GPa
38,3.451904,13,0.764706,7,3.43986,0.0029544,-0.000258319,0.000613584,2.52632,10,9,0,matched;micro;raw;shoulder,2;3;5;8,1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa;15.6GPa
39,3.483751,6,0.352941,3,3.48314,0.00701169,0.00107207,0.00051334,2.375,3,5,0,matched;micro;raw;shoulder,2;5,2.4GPa_decomp;5GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa
40,3.511558,8,0.470588,4,3.51298,0.00595743,0.000114754,0.000885278,2.375,3,5,0,matched;micro;raw;residual;shoulder,2;5,0.7GPa;1GPa;1.3GPa;1.5GPa;3.9GPa;6.2GPa;9.8GPa;15.6GPa
41,3.540591,10,0.588235,5,3.54983,0.00701169,0.000290699,0.000599283,2.41667,5,7,0,matched;micro;raw;shoulder,2;3;5;8,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;7.4GPa;9.8GPa
42,3.575444,10,0.588235,5,3.57714,0.00505985,0.000867992,0.000532591,2.41667,5,7,0,bump;matched;micro;raw;residual;shoulder,2;3,0.7GPa;1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa
43,3.614953,7,0.411765,4,3.6016,0.00358572,-0.00104316,0.00132291,2.5,4,4,0,bump;matched;micro;raw;residual;shoulder,2;8,0.7GPa;6.2GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa;15.6GPa
44,3.641747,7,0.411765,2,3.64546,0.00179516,-0.000685838,0.00156528,2.71429,5,2,0,matched;micro;raw;shoulder,2;3,1GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;15.6GPa
45,3.661283,7,0.411765,2,3.66128,0,2.5772e-07,0.000515815,2.71429,5,2,0,matched;micro;raw;residual;shoulder,2;5,1GPa;1.5GPa;2.4GPa_decomp;5GPa;10.4GPa;13.3GPa;15.6GPa
46,3.705986,8,0.470588,5,3.70335,0.00537321,0.000162802,0.00113889,2.4,4,6,0,matched;micro;raw;shoulder,2;3;8,0.7GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;9.8GPa
47,3.742212,7,0.411765,3,3.74542,0.0107495,-0.000272127,0.00454491,2.77778,7,2,0,bump;matched;micro;raw;residual;shoulder,3;8,1GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa;10.4GPa;13.3GPa
48,3.779319,9,0.529412,6,3.77273,0.000740898,2.89509e-05,0.0112397,2.92857,13,1,0,bump;matched;micro;raw;residual;shoulder,5;8,1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;15.6GPa
49,3.805815,13,0.764706,9,3.80362,0.00210239,-0.000303032,0.0112731,2.88889,16,2,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa
50,3.838014,10,0.588235,7,3.83525,0,-3.31234e-05,0.00968002,2.63636,7,4,0,matched;micro;raw;residual;shoulder,2;3;8,0.7GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;13.3GPa;15.6GPa
51,3.875309,2,0.117647,1,3.87865,0.00701169,0.00483565,0.00463558,2.5,1,1,0,matched;micro;raw;residual;shoulder,5;8,10.4GPa;13.3GPa
52,3.915661,6,0.352941,2,3.91433,0.000623655,-0.000541652,0.000610764,2.71429,5,2,0,bump;matched;micro;raw;residual;shoulder,2;8,0.7GPa;1GPa;2.3GPa;6.6GPa;10.4GPa;13.3GPa
53,3.948452,6,0.352941,3,3.96177,0,-0.000919638,0.000447753,2.28571,2,5,0,matched;micro;raw;shoulder,2;3,1GPa;1.5GPa;5GPa;6.2GPa;6.6GPa;15.6GPa
