peak_group,group_two_theta,frame_count,frame_coverage_fraction,longest_consecutive_run,median_position,position_mad_deg,pressure_position_slope_deg_per_gpa,max_roi_area,mean_confidence_tier,tier_a_count,tier_b_count,tier_c_count,source_methods,matched_filter_scales,frames_present
231,9.985616,3,0.176471,2,9.98747,0,0.00103993,0.123344,2.66667,2,1,0,matched;micro;raw;shoulder,2;8,2.3GPa;2.4GPa_decomp;9.8GPa
232,10.013829,5,0.294118,2,10.0139,0.00522574,-0.000463296,0.0652633,2.6,3,2,0,bump;matched;micro;raw;residual;shoulder,3;8,2.3GPa;3.9GPa;6.6GPa;7.4GPa;12.8GPa
233,10.055210,7,0.411765,2,10.0507,0.00260672,-0.000166455,0.0432794,2.375,3,5,0,bump;matched;micro;raw;residual;shoulder,2;3;8,1.5GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa
234,10.082301,2,0.117647,1,10.0824,0.00162926,0.00114904,0.0415261,3,3,0,0,bump;matched;micro;raw;residual;shoulder,3;5;8,5GPa;13.3GPa
235,10.101736,4,0.235294,2,10.0982,0,0.00227795,0.0399213,2.4,2,3,0,matched;micro;raw;residual;shoulder,3;8,2.3GPa;5GPa;6.2GPa;9.8GPa
236,10.136729,4,0.235294,2,10.1456,0,-0.000957868,0.0189187,2.6,3,2,0,bump;matched;micro;raw;residual;shoulder,3;5,3.9GPa;6.2GPa;7.4GPa;8.5GPa
237,10.168426,8,0.470588,4,10.1773,0.00490009,-0.000600114,0.018437,2.33333,3,6,0,bump;matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1GPa;1.3GPa;1.5GPa;3.9GPa;7.4GPa;8.5GPa;9.8GPa
238,10.206580,5,0.294118,2,10.2089,0,0.000364245,0.0166711,2.57143,4,3,0,matched;micro;raw;residual;shoulder,2;3;5;8,1GPa;1.5GPa;2.3GPa;8.5GPa;9.8GPa
239,10.243535,4,0.235294,1,10.2405,0.00226828,0.0013321,0.0223207,2.6,3,2,0,bump;matched;micro;raw;shoulder,3;5;8,0.7GPa;2.3GPa;9.8GPa;12.8GPa
240,10.281990,5,0.294118,2,10.2721,0,-0.000847576,0.0228144,2.2,1,4,0,matched;micro;raw;residual;shoulder,2,0.7GPa;1GPa;2.3GPa;9.8GPa;12.8GPa
241,10.328086,5,0.294118,2,10.3224,0.00279463,-0.000273421,0.00997097,2,0,5,0,bump;matched;micro;raw;residual;shoulder,2,1.5GPa;2.3GPa;3.9GPa;5GPa;15.6GPa
242,10.364363,4,0.235294,2,10.3512,0,-0.00204913,7.614e-05,2,0,4,0,matched;micro;raw;shoulder,2,0.7GPa;2.4GPa_decomp;5GPa;6.2GPa
243,10.435574,5,0.294118,1,10.4303,0.00975001,0.0016995,0.00433841,2,0,5,0,bump;matched;raw;residual;shoulder,2,0.7GPa;2.3GPa;6.2GPa;8.5GPa;12.8GPa
244,10.476643,2,0.117647,1,10.4766,0,-3.56318e-16,0.0436058,2,0,2,0,matched;shoulder,2,0.7GPa;10.4GPa
245,10.515759,2,0.117647,1,10.514,0.00466814,0.000639471,0.0935342,2.5,1,1,0,bump;matched;micro;raw;residual;shoulder,3,1GPa;15.6GPa
246,10.558034,2,0.117647,1,10.5509,0.00988774,0.00140252,0.0933062,3,2,0,0,bump;matched;residual,3;8,1.5GPa;15.6GPa
247,10.608767,9,0.529412,5,10.6201,0.00320836,0.00143247,0.0928907,2.81818,9,2,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;15.6GPa
248,10.646925,8,0.470588,5,10.6517,0,0.000228583,0.180973,3,10,0,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;13.3GPa
249,10.673075,8,0.470588,8,10.673,0.00543874,0.000112868,0.203226,3,13,0,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
250,10.704100,7,0.411765,3,10.701,0.00185455,-0.00130743,0.187954,3,7,0,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,1GPa;5GPa;6.2GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa
251,10.733626,5,0.294118,2,10.7308,0.000864815,-0.000201976,0.110396,3,6,0,0,bump;matched;micro;raw;residual;shoulder,2;5;8,1GPa;1.5GPa;6.2GPa;12.8GPa;13.3GPa
252,10.762425,1,0.0588235,1,10.7624,0,,0.0644594,3,1,0,0,matched;micro;raw;shoulder,3,1.5GPa
253,10.816963,7,0.411765,1,10.8132,0.00333329,0.000586124,0.0438465,2.33333,3,6,0,bump;matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1.3GPa;2.3GPa;3.9GPa;7.4GPa;12.8GPa;15.6GPa
254,10.841502,2,0.117647,1,10.8415,0,9.41313e-16,0.0371393,2,0,2,0,micro;raw;shoulder,,6.2GPa;7.4GPa
255,10.883870,4,0.235294,2,10.8861,0.00281359,0.000595199,0.0699886,2.33333,2,4,0,bump;matched;micro;raw;residual;shoulder,2;5;8,0.7GPa;1GPa;3.9GPa;12.8GPa
256,10.904780,6,0.352941,2,10.9081,0.00330205,0.00109851,0.0643351,2.16667,1,5,0,bump;matched;micro;raw;residual;shoulder,5,1.3GPa;1.5GPa;5GPa;8.5GPa;9.8GPa;15.6GPa
257,10.956457,5,0.294118,3,10.9534,0.0140234,-4.74665e-05,0.043287,2.4,2,3,0,matched;micro;raw;shoulder,2;3;5,5GPa;6.2GPa;6.6GPa;10.4GPa;15.6GPa
258,10.991096,5,0.294118,2,10.9997,0.0158155,-0.00237451,0.10368,2.71429,5,2,0,bump;matched;micro;raw;residual;shoulder,3;5,1GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa
259,11.033150,8,0.470588,4,11.0313,0,-0.000381859,0.12126,2.81818,9,2,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
260,11.071070,5,0.294118,2,11.0708,0.00790773,-0.00155127,0.0887902,3,6,0,0,bump;matched;micro;raw;residual;shoulder,3;8,2.3GPa;2.4GPa_decomp;5GPa;8.5GPa;9.8GPa
261,11.096601,7,0.411765,3,11.0945,0.000438809,0.000190811,0.0439613,2.375,3,5,0,matched;micro;raw;shoulder,2;3,0.7GPa;2.3GPa;2.4GPa_decomp;5GPa;12.8GPa;13.3GPa;15.6GPa
262,11.126180,2,0.117647,1,11.1262,0,-6.24078e-16,0.0819865,2.5,1,1,0,matched;micro;raw;shoulder,2,2.4GPa_decomp;6.2GPa
263,11.150143,5,0.294118,1,11.1638,0.00983808,-0.00145099,0.144445,2.4,2,3,0,bump;matched;micro;raw;residual;shoulder,3;5,0.7GPa;1.3GPa;3.9GPa;6.6GPa;12.8GPa
264,11.200411,2,0.117647,2,11.1894,0,0.00718885,0.222228,3,3,0,0,bump;matched;micro;raw;residual;shoulder,5,3.9GPa;5GPa
265,11.245706,3,0.176471,2,11.2448,0.00790773,0.00372088,0.255169,2.5,2,2,0,bump;matched;micro;raw;residual;shoulder,2;3;5,2.3GPa;6.2GPa;6.6GPa
266,11.291496,5,0.294118,2,11.29,0.0101514,-0.000771451,0.247507,2.77778,7,2,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,1GPa;6.6GPa;7.4GPa;10.4GPa;12.8GPa
267,11.324044,7,0.411765,4,11.316,0,0.000329774,0.252593,2.75,6,2,0,bump;matched;micro;raw;residual;shoulder,3;5,1GPa;1.5GPa;3.9GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa
268,11.363412,1,0.0588235,1,11.3634,0,,0.209812,3,1,0,0,matched,5,1.5GPa
269,11.397018,1,0.0588235,1,11.403,0.00790773,,0.102171,3,2,0,0,bump;matched;micro;raw;residual;shoulder,3;8,2.3GPa
270,11.442408,2,0.117647,1,11.4425,0,-0.00119814,0.0797492,2.66667,2,1,0,bump;matched;micro;raw;shoulder,3,6.2GPa;12.8GPa
271,11.458774,3,0.176471,1,11.4583,2.56057e-05,0.000315786,0.0843485,2.66667,2,1,0,bump;matched;micro;raw;residual;shoulder,3;8,0.7GPa;3.9GPa;6.2GPa
272,11.499311,5,0.294118,1,11.5003,0.0104136,0.002044,0.0873771,2.6,3,2,0,bump;matched;micro;raw;residual;shoulder,8,1.3GPa;3.9GPa;6.6GPa;8.5GPa;15.6GPa
273,11.528085,4,0.235294,2,11.5216,0,5.09909e-05,0.0746171,2.8,4,1,0,bump;matched;micro;raw;shoulder,2;3;5,3.9GPa;5GPa;8.5GPa;10.4GPa
274,11.556451,4,0.235294,2,11.5564,0.00324522,0.000221405,0.072165,3,5,0,0,bump;matched;micro;raw;residual;shoulder,3;5;8,1GPa;5GPa;6.2GPa;10.4GPa
275,11.584929,3,0.176471,3,11.6006,0,0.00288472,0.0500371,3,3,0,0,bump;matched;micro;raw;residual;shoulder,3;5;8,6.2GPa;6.6GPa;7.4GPa
276,11.632226,3,0.176471,2,11.6323,0,-0.000963476,0.0310249,2.66667,2,1,0,bump;matched;micro;raw;shoulder,3,2.3GPa;7.4GPa;8.5GPa
277,11.663952,5,0.294118,3,11.6639,0,0.00123417,0.0425012,2.71429,5,2,0,bump;matched;micro;raw;shoulder,3;5,5GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa
278,11.710708,8,0.470588,3,11.7114,0.00701169,-8.70682e-05,0.0751457,2.4,4,6,0,bump;matched;micro;raw;residual;shoulder,3;5;8,0.7GPa;1.3GPa;3.9GPa;5GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa
279,11.753173,5,0.294118,2,11.7509,0.00790773,-0.000360142,0.0620435,2.33333,2,4,0,bump;matched;micro;raw;shoulder,3;5,0.7GPa;1GPa;5GPa;6.2GPa;13.3GPa
280,11.778156,3,0.176471,1,11.7825,0.00790773,0.001533,0.0238773,2.75,3,1,0,bump;matched;micro;raw;shoulder,3;5;8,1GPa;1.5GPa;8.5GPa
281,11.807565,4,0.235294,2,11.8062,0,-0.000997577,0.0123047,2.25,1,3,0,matched;micro;raw;shoulder,2;8,1.3GPa;1.5GPa;3.9GPa;9.8GPa
282,11.837922,2,0.117647,1,11.8379,0,0.00608287,0.00483728,2.66667,2,1,0,bump;matched;micro;raw;residual;shoulder,3,1GPa;2.3GPa
283,11.880232,4,0.235294,1,11.8742,0.00473675,-0.000644779,0.00382838,2,0,4,0,matched;micro;raw;shoulder,2;3,0.7GPa;6.2GPa;7.4GPa;12.8GPa
284,11.929870,6,0.352941,2,11.9269,0.00585912,-0.000308684,0.00194345,2.5,4,4,0,bump;matched;micro;raw;shoulder,2;3,1GPa;1.3GPa;3.9GPa;7.4GPa;8.5GPa;13.3GPa
285,11.967093,6,0.352941,2,11.9644,0.00701169,-0.000407314,0.00336594,2.5,4,4,0,bump;matched;micro;raw;shoulder,2;3;8,0.7GPa;3.9GPa;5GPa;9.8GPa;10.4GPa;15.6GPa
286,12.004774,3,0.176471,2,12.0052,0.00665532,0.000452149,0.00298188,3,3,0,0,bump;matched;micro;raw;shoulder,3;5,1.3GPa;5GPa;6.2GPa
287,12.030774,4,0.235294,1,12.0277,0,-0.000408473,0.00274235,2.4,2,3,0,matched;micro;raw;residual;shoulder,2;3;5,1GPa;1.5GPa;3.9GPa;6.2GPa
288,12.062840,7,0.411765,4,12.0603,0.000995889,-6.82935e-06,0.00208733,2.25,2,6,0,bump;matched;micro;raw;shoulder,2;3,1.5GPa;2.3GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa
289,12.093826,6,0.352941,3,12.1034,0.0033845,-0.000112547,0.00254745,2.57143,4,3,0,bump;matched;micro;raw;shoulder,2;3;5,0.7GPa;1.3GPa;3.9GPa;7.4GPa;8.5GPa;9.8GPa
290,12.141705,8,0.470588,2,12.1384,0,-0.00109959,0.00296373,2.7,7,3,0,bump;matched;micro;raw;residual;shoulder,3;5;8,1GPa;2.3GPa;2.4GPa_decomp;5GPa;6.6GPa;8.5GPa;9.8GPa;12.8GPa
291,12.171766,7,0.411765,4,12.17,0.00173525,-0.00072362,0.00181386,2.375,3,5,0,matched;micro;raw;residual;shoulder,3;8,1GPa;1.3GPa;1.5GPa;2.3GPa;6.6GPa;12.8GPa;15.6GPa
292,12.202149,4,0.235294,1,12.2016,0,0.000566186,0.00098613,2.4,2,3,0,matched;micro;raw;residual;shoulder,2;5,2.3GPa;6.2GPa;7.4GPa;12.8GPa
293,12.248820,5,0.294118,2,12.2463,0.00274497,-0.000935906,0.00143054,2.5,3,3,0,bump;matched;micro;raw;shoulder,2,1.5GPa;5GPa;9.8GPa;10.4GPa;15.6GPa
294,12.280555,4,0.235294,2,12.2762,0.00453707,0.00246745,0.000975892,2.75,3,1,0,matched;micro;raw;shoulder,2;8,0.7GPa;1.3GPa;3.9GPa;5GPa
295,12.312070,8,0.470588,3,12.2997,0.00315715,-0.000453911,0.000217464,2.5,5,5,0,matched;micro;raw;shoulder,2;3;5,1GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;10.4GPa;15.6GPa
296,12.341471,8,0.470588,4,12.3282,0.000427034,-0.000445899,0.000220458,2.55556,5,4,0,matched;micro;raw;residual;shoulder,2;3;8,1.5GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;9.8GPa;10.4GPa;15.6GPa
297,12.364165,3,0.176471,1,12.3756,0,-0.00103717,0.00047327,2.33333,1,2,0,micro;raw;shoulder,,1GPa;9.8GPa;12.8GPa
298,12.398860,7,0.411765,4,12.3978,0.00642797,0.000100847,0.000502729,2.5,4,4,0,matched;micro;raw;residual;shoulder,3;8,0.7GPa;2.3GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;13.3GPa
299,12.435389,9,0.529412,3,12.4389,0.0010517,-0.000212812,0.00119709,2.75,9,3,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;1GPa;5GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;15.6GPa
300,12.457224,10,0.588235,6,12.4547,0.000740394,0.000344176,0.000830779,2.54545,6,5,0,matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1GPa;1.5GPa;3.9GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa
301,12.484556,9,0.529412,3,12.4863,0,-0.000474635,0.00111731,2.2,2,8,0,bump;matched;micro;raw;residual;shoulder,2;3;8,1GPa;1.3GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;9.8GPa;13.3GPa
302,12.517073,6,0.352941,2,12.5179,0.00790876,0.000271665,0.00118909,2.71429,5,2,0,bump;matched;micro;raw;residual;shoulder,2;5;8,0.7GPa;1.3GPa;3.9GPa;9.8GPa;10.4GPa;15.6GPa
303,12.552228,9,0.529412,4,12.5521,0.00253043,-0.000739962,0.00172671,2.45455,5,6,0,bump;matched;micro;raw;residual;shoulder,2;3;5,1GPa;1.3GPa;1.5GPa;2.3GPa;6.6GPa;9.8GPa;10.4GPa;12.8GPa;15.6GPa
304,12.593728,6,0.352941,2,12.597,0,-0.000198863,0.00191442,2.28571,2,5,0,bump;matched;micro;raw;shoulder,2;3;5,0.7GPa;1GPa;1.5GPa;3.9GPa;8.5GPa;12.8GPa
305,12.640937,10,0.588235,3,12.6286,0.0117044,-8.48081e-05,0.00329955,2.42857,6,8,0,bump;matched;micro;raw;residual;shoulder,2;3;5,1.3GPa;1.5GPa;2.3GPa;5GPa;6.2GPa;7.4GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa
306,12.669776,8,0.470588,2,12.6702,0.00590315,0.000447177,0.0029115,2.375,3,5,0,bump;matched;micro;raw;shoulder,2;3,0.7GPa;1GPa;1.5GPa;2.3GPa;6.2GPa;7.4GPa;8.5GPa;12.8GPa
307,12.692701,9,0.529412,3,12.6923,0.000424978,-0.000315576,0.00153744,2.33333,3,6,0,bump;matched;micro;raw;residual;shoulder,2;5;8,1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa
308,12.733688,4,0.235294,1,12.7235,0.0015796,0.000584347,0.000397133,2.5,2,2,0,matched;micro;raw;shoulder,3,1GPa;3.9GPa;10.4GPa;13.3GPa
309,12.761990,5,0.294118,2,12.7667,0.00426774,0.000435453,0.00041595,2.66667,4,2,0,bump;matched;micro;raw;shoulder,2;3,0.7GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa
310,12.799138,8,0.470588,2,12.8026,0.00190371,-5.84912e-05,0.00100111,2.36364,4,7,0,bump;matched;micro;raw;shoulder,2;3;5,2.3GPa;3.9GPa;5GPa;6.6GPa;8.5GPa;9.8GPa;13.3GPa;15.6GPa
311,12.831839,7,0.411765,2,12.8185,0.000111618,0.000225814,0.00518557,2.57143,4,3,0,bump;matched;micro;raw;residual;shoulder,2;5,0.7GPa;1.3GPa;3.9GPa;6.2GPa;8.5GPa;9.8GPa;12.8GPa
312,12.857159,6,0.352941,2,12.8606,0.00526466,0.000202661,0.0117177,2.16667,1,5,0,bump;matched;micro;raw;shoulder,2;5;8,0.7GPa;6.2GPa;8.5GPa;10.4GPa;12.8GPa;15.6GPa
313,12.898443,8,0.470588,2,12.8887,0.00696662,-5.4907e-05,0.0144088,2.8,8,2,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;1GPa;1.5GPa;5GPa;6.6GPa;8.5GPa;12.8GPa;13.3GPa
314,12.913992,4,0.235294,2,12.9291,0.00159035,-0.000255636,0.0141969,2.4,2,3,0,bump;matched;micro;raw;residual;shoulder,2;5,1.3GPa;1.5GPa;3.9GPa;9.8GPa
315,12.953746,4,0.235294,1,12.945,0.000201742,0.000168918,0.00697415,2.4,2,3,0,matched;micro;raw;residual;shoulder,2;5;8,3.9GPa;7.4GPa;10.4GPa;13.3GPa
316,12.984518,6,0.352941,2,12.9766,0.00378593,-5.56363e-05,0.00203183,2.57143,4,3,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,2.3GPa;5GPa;7.4GPa;10.4GPa;13.3GPa;15.6GPa
317,13.025021,3,0.176471,1,13.0289,0.0109543,-0.00185736,0.00142671,2.66667,2,1,0,micro;raw;shoulder,,6.2GPa;10.4GPa;13.3GPa
318,13.056941,3,0.176471,2,13.0569,0,0.000102144,0.00143654,2,0,3,0,matched;micro;raw;shoulder,2,0.7GPa;1GPa;6.6GPa
319,13.087343,3,0.176471,1,13.1031,0,-0.000740282,0.00162673,2.4,2,3,0,bump;matched;micro;raw;residual;shoulder,2;8,2.3GPa;3.9GPa;8.5GPa
320,13.126742,5,0.294118,2,13.1271,0.00768347,-0.000649631,0.00319565,2.85714,6,1,0,bump;matched;micro;raw;residual;shoulder,3;5;8,0.7GPa;5GPa;8.5GPa;13.3GPa;15.6GPa
321,13.173823,13,0.764706,7,13.1691,0.0130597,-0.000994734,0.00601679,2.73684,14,5,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa
322,13.208500,9,0.529412,3,13.198,0.000828462,0.000190482,0.00474383,2.69231,9,4,0,bump;matched;micro;raw;residual;shoulder,2;3;8,1.3GPa;1.5GPa;2.4GPa_decomp;6.2GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;15.6GPa
323,13.226833,6,0.352941,3,13.2296,0,0.000262674,0.00217751,2.5,3,3,0,bump;matched;micro;raw;shoulder,2;8,0.7GPa;2.4GPa_decomp;7.4GPa;8.5GPa;9.8GPa;12.8GPa
324,13.268590,7,0.411765,3,13.2722,0.00701169,0.000186993,0.00201628,2.5,4,4,0,bump;matched;micro;raw;residual;shoulder,2;8,0.7GPa;1GPa;1.3GPa;6.6GPa;7.4GPa;9.8GPa;13.3GPa
325,13.312011,6,0.352941,2,13.3094,0.0140234,0.000875403,0.00266608,2.42857,3,4,0,matched;micro;raw;shoulder,2;3;5,1.3GPa;1.5GPa;3.9GPa;6.2GPa;12.8GPa;15.6GPa
326,13.351751,8,0.470588,3,13.3459,0.00847864,0.00021333,0.00331355,2.8,8,2,0,bump;matched;micro;raw;residual;shoulder,3;5;8,0.7GPa;1GPa;1.3GPa;2.3GPa;3.9GPa;6.6GPa;7.4GPa;10.4GPa
327,13.384804,5,0.294118,2,13.3757,0.00375264,0.00154015,0.00605949,2.83333,5,1,0,bump;matched;micro;raw;residual;shoulder,2;3;5,1GPa;1.3GPa;2.3GPa;6.6GPa;7.4GPa
328,13.410347,7,0.411765,2,13.4216,0.002129,0.000841495,0.00710913,2.55556,5,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1.5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;15.6GPa
329,13.451058,3,0.176471,2,13.459,0.00790773,-0.00154527,0.00430048,2.75,3,1,0,matched;micro;residual,3;5,3.9GPa;8.5GPa;9.8GPa
330,13.494889,4,0.235294,2,13.4985,0.00683146,0.00134824,0.00674542,2,0,5,0,matched;micro;raw;shoulder,2,1GPa;1.3GPa;2.3GPa;10.4GPa
331,13.547301,5,0.294118,2,13.5337,0.0140234,0.00152576,0.012971,2.4,2,3,0,bump;matched;micro;raw;residual;shoulder,2;3;8,0.7GPa;1.3GPa;6.6GPa;13.3GPa;15.6GPa
332,13.577400,3,0.176471,1,13.5776,0.000884271,-0.000509021,0.0148954,2.5,2,2,0,bump;matched;micro;raw;residual;shoulder,2;5,1GPa;3.9GPa;10.4GPa
333,13.624605,4,0.235294,2,13.6092,0.00267636,0.000548648,0.0293738,2.75,3,1,0,bump;matched;micro;raw;residual;shoulder,2;3;5,1.3GPa;1.5GPa;5GPa;9.8GPa
334,13.654971,4,0.235294,1,13.6513,0.00701169,0.000155783,0.0248563,2.25,1,3,0,matched;micro;raw;shoulder,2,1GPa;6.6GPa;9.8GPa;15.6GPa
335,13.687771,5,0.294118,2,13.674,0.00150228,-0.000177374,0.0291753,3,5,0,0,bump;matched;micro;raw;residual;shoulder,2;3;8,0.7GPa;1GPa;2.3GPa;6.2GPa;10.4GPa
336,13.727006,8,0.470588,4,13.7357,0.00417864,-0.000350229,0.0221927,2.5,5,5,0,bump;matched;micro;raw;residual;shoulder,2;5,0.7GPa;1GPa;2.3GPa;3.9GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa
337,13.769559,8,0.470588,3,13.7721,0.0047731,0.00065655,0.0128756,2.44444,4,5,0,bump;matched;micro;raw;shoulder,2;3;5;8,1GPa;1.3GPa;1.5GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa
338,13.814797,4,0.235294,1,13.8002,0.00118892,0.00134956,0.0202233,2.8,4,1,0,bump;matched;micro;raw;residual;shoulder,5;8,1.5GPa;6.6GPa;9.8GPa;12.8GPa
339,13.828375,2,0.117647,1,13.8294,0.00119763,0.000386333,0.0200964,3,2,0,0,bump;matched;shoulder,8,6.6GPa;12.8GPa
340,13.860063,7,0.411765,2,13.8703,0.00777154,-0.000106932,0.0154942,2.22222,2,7,0,bump;matched;micro;raw;residual;shoulder,2;5;8,0.7GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;10.4GPa
341,13.923019,5,0.294118,2,13.9124,0.0131478,-0.000191665,0.00389244,2.2,1,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5,3.9GPa;6.2GPa;6.6GPa;8.5GPa;15.6GPa
342,13.950580,9,0.529412,3,13.9571,0.0113148,0.000756485,0.00423044,2.27273,3,8,0,bump;matched;micro;raw;residual;shoulder,2;3,0.7GPa;1GPa;2.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;10.4GPa;13.3GPa;15.6GPa
343,13.998443,4,0.235294,1,13.9965,0,0.000862038,0.00499633,2.25,1,3,0,matched;micro;raw;shoulder,2;3,0.7GPa;6.6GPa;10.4GPa;15.6GPa
344,14.030919,5,0.294118,3,14.0246,0.00414638,-0.00153503,0.00634334,2.6,3,2,0,bump;matched;micro;raw;residual;shoulder,2;5,0.7GPa;1GPa;1.3GPa;5GPa;9.8GPa
345,14.061432,7,0.411765,2,14.0526,0.000281101,-0.000769863,0.00586916,2.5,4,4,0,bump;matched;micro;raw;shoulder,3;8,0.7GPa;1.5GPa;2.4GPa_decomp;6.2GPa;10.4GPa;13.3GPa;15.6GPa
346,14.093080,5,0.294118,2,14.0947,0.00481407,0.000833217,0.0155518,3,7,0,0,bump;matched;raw;residual,5;8,1.3GPa;1.5GPa;6.2GPa;7.4GPa;8.5GPa
347,14.135506,14,0.823529,5,14.1311,0.00562512,0.000704222,0.0181036,2.8,16,4,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;1GPa;1.3GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa
348,14.174773,3,0.176471,2,14.1638,0.00102047,0.00158448,0.0147417,3,4,0,0,bump;matched;residual,5;8,9.8GPa;12.8GPa;13.3GPa
349,14.196527,11,0.647059,5,14.2102,0.010688,-0.000244241,0.00836899,2.1875,3,13,0,bump;matched;micro;raw;residual;shoulder,2;5;8,0.7GPa;1.3GPa;2.3GPa;6.2GPa;6.6GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa
350,14.246781,4,0.235294,1,14.2497,0.00790773,0.000103536,0.00696414,2.33333,2,4,0,bump;matched;micro;raw;residual;shoulder,2;3;8,1GPa;1.5GPa;3.9GPa;7.4GPa
351,14.288131,3,0.176471,1,14.2831,0.0061479,-0.00177292,0.00430791,2.5,2,2,0,matched;micro;raw;shoulder,2,1GPa;2.3GPa;6.6GPa
352,14.328387,4,0.235294,2,14.3331,0.0121668,7.90789e-06,0.00131506,3,5,0,0,bump;matched;micro;raw;residual;shoulder,2;3;8,5GPa;10.4GPa;13.3GPa;15.6GPa
353,14.376814,5,0.294118,3,14.3751,0.00790773,0.000625878,0.00160973,3,6,0,0,bump;matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;5GPa;6.2GPa;6.6GPa;10.4GPa
354,14.403126,3,0.176471,1,14.4032,0,0.000241739,0.00127527,2.66667,2,1,0,bump;micro;raw;shoulder,,1.5GPa;10.4GPa;15.6GPa
355,14.460645,5,0.294118,2,14.4534,0.00899272,-0.00115277,0.0167156,2.66667,4,2,0,matched;micro;raw;residual;shoulder,5;8,1GPa;2.3GPa;5GPa;13.3GPa;15.6GPa
356,14.486595,8,0.470588,2,14.4873,0.00826922,-0.000230961,0.0423474,2.55556,5,4,0,bump;matched;micro;raw;residual;shoulder,2;5;8,1GPa;1.3GPa;3.9GPa;6.2GPa;6.6GPa;10.4GPa;13.3GPa;15.6GPa
357,14.525284,4,0.235294,1,14.5265,0,-0.000294321,0.0549271,2.8,4,1,0,bump;matched;micro;raw;residual;shoulder,3;5;8,1.5GPa;2.4GPa_decomp;7.4GPa;13.3GPa
358,14.543351,5,0.294118,3,14.5423,0,0.000109748,0.053175,2.4,2,3,0,bump;matched;micro;raw;residual;shoulder,3;8,2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;13.3GPa
359,14.589767,4,0.235294,2,14.5898,0,0.00141747,0.0545821,2.6,3,2,0,bump;matched;micro;raw;residual;shoulder,3;5,2.3GPa;3.9GPa;8.5GPa;9.8GPa
