peak_group,group_two_theta,frame_count,frames_present,max_roi_area,frame_coverage_fraction,tier_a_count,tier_b_count,tier_c_count,source_methods,matched_filter_scales,heatmap,matrix
21,2.805858,1,15.6GPa,0.000330158,0.0588235,1,0,0,matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_021_2.806deg_correlation.png,per_peak_matrices/peak_group_021_2.806deg_correlation.csv
22,2.833904,1,6.6GPa,7.49123e-05,0.0588235,1,0,0,raw;shoulder,,per_peak_heatmaps/peak_group_022_2.834deg_correlation.png,per_peak_matrices/peak_group_022_2.834deg_correlation.csv
23,2.874323,9,0.7GPa;1GPa;1.3GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;12.8GPa;13.3GPa,0.000785712,0.529412,4,6,0,matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_023_2.874deg_correlation.png,per_peak_matrices/peak_group_023_2.874deg_correlation.csv
24,2.921953,10,0.7GPa;1.3GPa;1.5GPa;2.3GPa;6.2GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;15.6GPa,0.000499129,0.588235,7,6,0,matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_024_2.922deg_correlation.png,per_peak_matrices/peak_group_024_2.922deg_correlation.csv
25,2.956017,9,1.3GPa;1.5GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa,0.00249302,0.529412,5,5,0,bump;matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_025_2.956deg_correlation.png,per_peak_matrices/peak_group_025_2.956deg_correlation.csv
26,2.988463,6,1GPa;2.4GPa_decomp;5GPa;6.2GPa;12.8GPa;15.6GPa,0.000686731,0.352941,7,2,0,bump;matched;micro;raw;shoulder,3;5,per_peak_heatmaps/peak_group_026_2.988deg_correlation.png,per_peak_matrices/peak_group_026_2.988deg_correlation.csv
27,3.015592,7,1.3GPa;1.5GPa;2.4GPa_decomp;6.2GPa;8.5GPa;9.8GPa;13.3GPa,0.000670304,0.411765,5,3,0,matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_027_3.016deg_correlation.png,per_peak_matrices/peak_group_027_3.016deg_correlation.csv
28,3.063378,7,0.7GPa;1.5GPa;2.4GPa_decomp;6.6GPa;9.8GPa;10.4GPa;15.6GPa,0.000316184,0.411765,4,4,0,matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_028_3.063deg_correlation.png,per_peak_matrices/peak_group_028_3.063deg_correlation.csv
29,3.112970,12,0.7GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.00195161,0.705882,8,6,0,bump;matched;micro;raw;residual;shoulder,2;3;8,per_peak_heatmaps/peak_group_029_3.113deg_correlation.png,per_peak_matrices/peak_group_029_3.113deg_correlation.csv
30,3.137913,9,0.7GPa;1GPa;1.3GPa;2.3GPa;6.6GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa,0.00195202,0.529412,6,3,0,bump;matched;micro;raw;residual;shoulder,2;8,per_peak_heatmaps/peak_group_030_3.138deg_correlation.png,per_peak_matrices/peak_group_030_3.138deg_correlation.csv
31,3.163084,6,0.7GPa;1GPa;6.6GPa;8.5GPa;12.8GPa;15.6GPa,0.00233199,0.352941,4,2,0,bump;matched;micro;raw;shoulder,3;5,per_peak_heatmaps/peak_group_031_3.163deg_correlation.png,per_peak_matrices/peak_group_031_3.163deg_correlation.csv
32,3.189515,6,1.3GPa;2.4GPa_decomp;6.2GPa;10.4GPa;13.3GPa;15.6GPa,0.00204083,0.352941,5,2,0,bump;matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_032_3.190deg_correlation.png,per_peak_matrices/peak_group_032_3.190deg_correlation.csv
33,3.226086,7,1GPa;1.5GPa;3.9GPa;5GPa;6.2GPa;6.6GPa;12.8GPa,0.000920476,0.411765,0,7,0,matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_033_3.226deg_correlation.png,per_peak_matrices/peak_group_033_3.226deg_correlation.csv
34,3.250114,4,0.7GPa;1GPa;2.3GPa;8.5GPa,0.000225185,0.235294,0,4,0,matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_034_3.250deg_correlation.png,per_peak_matrices/peak_group_034_3.250deg_correlation.csv
35,3.296676,2,6.6GPa;10.4GPa,5.76291e-05,0.117647,0,2,0,matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_035_3.297deg_correlation.png,per_peak_matrices/peak_group_035_3.297deg_correlation.csv
36,3.387777,14,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa,0.00577826,0.823529,6,14,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_036_3.388deg_correlation.png,per_peak_matrices/peak_group_036_3.388deg_correlation.csv
37,3.412204,12,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa;9.8GPa;12.8GPa,0.000103855,0.705882,5,10,0,matched;micro;raw;shoulder,2;3;8,per_peak_heatmaps/peak_group_037_3.412deg_correlation.png,per_peak_matrices/peak_group_037_3.412deg_correlation.csv
38,3.451904,13,1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa;15.6GPa,0.000613584,0.764706,10,9,0,matched;micro;raw;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_038_3.452deg_correlation.png,per_peak_matrices/peak_group_038_3.452deg_correlation.csv
39,3.483751,6,2.4GPa_decomp;5GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa,0.00051334,0.352941,3,5,0,matched;micro;raw;shoulder,2;5,per_peak_heatmaps/peak_group_039_3.484deg_correlation.png,per_peak_matrices/peak_group_039_3.484deg_correlation.csv
40,3.511558,8,0.7GPa;1GPa;1.3GPa;1.5GPa;3.9GPa;6.2GPa;9.8GPa;15.6GPa,0.000885278,0.470588,3,5,0,matched;micro;raw;residual;shoulder,2;5,per_peak_heatmaps/peak_group_040_3.512deg_correlation.png,per_peak_matrices/peak_group_040_3.512deg_correlation.csv
41,3.540591,10,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;7.4GPa;9.8GPa,0.000599283,0.588235,5,7,0,matched;micro;raw;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_041_3.541deg_correlation.png,per_peak_matrices/peak_group_041_3.541deg_correlation.csv
42,3.575444,10,0.7GPa;1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;7.4GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa,0.000532591,0.588235,5,7,0,bump;matched;micro;raw;residual;shoulder,2;3,per_peak_heatmaps/peak_group_042_3.575deg_correlation.png,per_peak_matrices/peak_group_042_3.575deg_correlation.csv
43,3.614953,7,0.7GPa;6.2GPa;8.5GPa;9.8GPa;10.4GPa;12.8GPa;15.6GPa,0.00132291,0.411765,4,4,0,bump;matched;micro;raw;residual;shoulder,2;8,per_peak_heatmaps/peak_group_043_3.615deg_correlation.png,per_peak_matrices/peak_group_043_3.615deg_correlation.csv
44,3.641747,7,1GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.6GPa;15.6GPa,0.00156528,0.411765,5,2,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_044_3.642deg_correlation.png,per_peak_matrices/peak_group_044_3.642deg_correlation.csv
45,3.661283,7,1GPa;1.5GPa;2.4GPa_decomp;5GPa;10.4GPa;13.3GPa;15.6GPa,0.000515815,0.411765,5,2,0,matched;micro;raw;residual;shoulder,2;5,per_peak_heatmaps/peak_group_045_3.661deg_correlation.png,per_peak_matrices/peak_group_045_3.661deg_correlation.csv
46,3.705986,8,0.7GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;9.8GPa,0.00113889,0.470588,4,6,0,matched;micro;raw;shoulder,2;3;8,per_peak_heatmaps/peak_group_046_3.706deg_correlation.png,per_peak_matrices/peak_group_046_3.706deg_correlation.csv
47,3.742212,7,1GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa;10.4GPa;13.3GPa,0.00454491,0.411765,7,2,0,bump;matched;micro;raw;residual;shoulder,3;8,per_peak_heatmaps/peak_group_047_3.742deg_correlation.png,per_peak_matrices/peak_group_047_3.742deg_correlation.csv
48,3.779319,9,1GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;7.4GPa;15.6GPa,0.0112397,0.529412,13,1,0,bump;matched;micro;raw;residual;shoulder,5;8,per_peak_heatmaps/peak_group_048_3.779deg_correlation.png,per_peak_matrices/peak_group_048_3.779deg_correlation.csv
49,3.805815,13,1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa,0.0112731,0.764706,16,2,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_049_3.806deg_correlation.png,per_peak_matrices/peak_group_049_3.806deg_correlation.csv
50,3.838014,10,0.7GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;13.3GPa;15.6GPa,0.00968002,0.588235,7,4,0,matched;micro;raw;residual;shoulder,2;3;8,per_peak_heatmaps/peak_group_050_3.838deg_correlation.png,per_peak_matrices/peak_group_050_3.838deg_correlation.csv
51,3.875309,2,10.4GPa;13.3GPa,0.00463558,0.117647,1,1,0,matched;micro;raw;residual;shoulder,5;8,per_peak_heatmaps/peak_group_051_3.875deg_correlation.png,per_peak_matrices/peak_group_051_3.875deg_correlation.csv
52,3.915661,6,0.7GPa;1GPa;2.3GPa;6.6GPa;10.4GPa;13.3GPa,0.000610764,0.352941,5,2,0,bump;matched;micro;raw;residual;shoulder,2;8,per_peak_heatmaps/peak_group_052_3.916deg_correlation.png,per_peak_matrices/peak_group_052_3.916deg_correlation.csv
53,3.948452,6,1GPa;1.5GPa;5GPa;6.2GPa;6.6GPa;15.6GPa,0.000447753,0.352941,2,5,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_053_3.948deg_correlation.png,per_peak_matrices/peak_group_053_3.948deg_correlation.csv
54,3.983820,3,0.7GPa;1.3GPa;8.5GPa,0.000720225,0.176471,2,1,0,bump;matched;micro;raw;residual;shoulder,5;8,per_peak_heatmaps/peak_group_054_3.984deg_correlation.png,per_peak_matrices/peak_group_054_3.984deg_correlation.csv
55,4.011113,9,0.7GPa;5GPa;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa,0.000472733,0.529412,2,9,0,bump;matched;micro;raw;residual;shoulder,3,per_peak_heatmaps/peak_group_055_4.011deg_correlation.png,per_peak_matrices/peak_group_055_4.011deg_correlation.csv
56,4.051760,9,1.3GPa;1.5GPa;2.3GPa;3.9GPa;6.2GPa;8.5GPa;10.4GPa;13.3GPa;15.6GPa,0.00590629,0.529412,3,7,0,bump;matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_056_4.052deg_correlation.png,per_peak_matrices/peak_group_056_4.052deg_correlation.csv
57,4.080090,7,1GPa;2.3GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;13.3GPa,0.00934548,0.411765,2,6,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_057_4.080deg_correlation.png,per_peak_matrices/peak_group_057_4.080deg_correlation.csv
58,4.114567,7,0.7GPa;1GPa;1.5GPa;2.4GPa_decomp;7.4GPa;12.8GPa;13.3GPa,0.0104251,0.411765,5,4,0,bump;matched;micro;raw;residual;shoulder,2;3;8,per_peak_heatmaps/peak_group_058_4.115deg_correlation.png,per_peak_matrices/peak_group_058_4.115deg_correlation.csv
59,4.142398,6,1GPa;1.5GPa;2.3GPa;6.6GPa;10.4GPa;15.6GPa,0.00958306,0.352941,4,2,0,bump;matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_059_4.142deg_correlation.png,per_peak_matrices/peak_group_059_4.142deg_correlation.csv
60,4.178640,9,1.3GPa;2.3GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa;15.6GPa,0.0036101,0.529412,6,5,0,matched;micro;raw;shoulder,3;5,per_peak_heatmaps/peak_group_060_4.179deg_correlation.png,per_peak_matrices/peak_group_060_4.179deg_correlation.csv
61,4.213437,8,0.7GPa;1.3GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;7.4GPa;12.8GPa,0.000863716,0.470588,7,3,0,bump;matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_061_4.213deg_correlation.png,per_peak_matrices/peak_group_061_4.213deg_correlation.csv
62,4.247201,8,0.7GPa;1GPa;6.2GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.000405297,0.470588,6,4,0,bump;matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_062_4.247deg_correlation.png,per_peak_matrices/peak_group_062_4.247deg_correlation.csv
63,4.287192,6,1GPa;1.3GPa;2.4GPa_decomp;5GPa;8.5GPa;12.8GPa,0.000216415,0.352941,2,5,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_063_4.287deg_correlation.png,per_peak_matrices/peak_group_063_4.287deg_correlation.csv
64,4.306370,3,0.7GPa;6.6GPa;13.3GPa,0.000317277,0.176471,2,1,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_064_4.306deg_correlation.png,per_peak_matrices/peak_group_064_4.306deg_correlation.csv
65,4.365336,10,1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;7.4GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa,0.000184001,0.588235,3,7,0,bump;matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_065_4.365deg_correlation.png,per_peak_matrices/peak_group_065_4.365deg_correlation.csv
66,4.404522,1,13.3GPa,0.000112663,0.0588235,1,0,0,matched;micro;shoulder,2,per_peak_heatmaps/peak_group_066_4.405deg_correlation.png,per_peak_matrices/peak_group_066_4.405deg_correlation.csv
67,4.432672,3,10.4GPa;13.3GPa;15.6GPa,0.00160469,0.176471,1,2,0,matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_067_4.433deg_correlation.png,per_peak_matrices/peak_group_067_4.433deg_correlation.csv
68,4.476145,11,0.7GPa;1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;6.2GPa;6.6GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa,0.00651849,0.647059,6,8,0,matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_068_4.476deg_correlation.png,per_peak_matrices/peak_group_068_4.476deg_correlation.csv
69,4.509138,11,1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa,0.00879224,0.647059,7,8,0,matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_069_4.509deg_correlation.png,per_peak_matrices/peak_group_069_4.509deg_correlation.csv
70,4.532140,4,3.9GPa;7.4GPa;10.4GPa;12.8GPa,0.00746781,0.235294,2,3,0,bump;matched;micro;raw;residual;shoulder,3;8,per_peak_heatmaps/peak_group_070_4.532deg_correlation.png,per_peak_matrices/peak_group_070_4.532deg_correlation.csv
71,4.572750,9,0.7GPa;1GPa;2.3GPa;3.9GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa,0.0048081,0.529412,6,5,0,matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_071_4.573deg_correlation.png,per_peak_matrices/peak_group_071_4.573deg_correlation.csv
72,4.601735,8,1.3GPa;1.5GPa;2.4GPa_decomp;5GPa;6.2GPa;8.5GPa;9.8GPa;15.6GPa,0.00243707,0.470588,5,6,0,matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_072_4.602deg_correlation.png,per_peak_matrices/peak_group_072_4.602deg_correlation.csv
73,4.634258,11,0.7GPa;1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;6.6GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa,0.00063341,0.647059,5,7,0,matched;micro;raw;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_073_4.634deg_correlation.png,per_peak_matrices/peak_group_073_4.634deg_correlation.csv
74,4.673485,12,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;5GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa,0.000257337,0.705882,7,7,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_074_4.673deg_correlation.png,per_peak_matrices/peak_group_074_4.673deg_correlation.csv
75,4.719060,4,1.3GPa;3.9GPa;5GPa;8.5GPa,0.000458443,0.235294,4,2,0,matched;micro;raw;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_075_4.719deg_correlation.png,per_peak_matrices/peak_group_075_4.719deg_correlation.csv
76,4.744009,9,0.7GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;7.4GPa;10.4GPa,0.000312012,0.529412,8,3,0,matched;micro;raw;residual;shoulder,2;3;8,per_peak_heatmaps/peak_group_076_4.744deg_correlation.png,per_peak_matrices/peak_group_076_4.744deg_correlation.csv
77,4.773523,8,0.7GPa;1GPa;1.5GPa;2.3GPa;6.2GPa;6.6GPa;8.5GPa;13.3GPa,0.000314342,0.470588,6,3,0,matched;micro;raw;residual;shoulder,2;3;5,per_peak_heatmaps/peak_group_077_4.774deg_correlation.png,per_peak_matrices/peak_group_077_4.774deg_correlation.csv
78,4.799983,7,1GPa;1.5GPa;2.3GPa;3.9GPa;6.6GPa;7.4GPa;8.5GPa,0.000422781,0.411765,2,6,0,bump;matched;micro;raw;residual;shoulder,2;3,per_peak_heatmaps/peak_group_078_4.800deg_correlation.png,per_peak_matrices/peak_group_078_4.800deg_correlation.csv
79,4.849123,9,0.7GPa;2.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.000753101,0.529412,3,8,0,matched;micro;raw;residual;shoulder,3;5;8,per_peak_heatmaps/peak_group_079_4.849deg_correlation.png,per_peak_matrices/peak_group_079_4.849deg_correlation.csv
80,4.868031,11,1GPa;1.3GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;7.4GPa;10.4GPa;12.8GPa,0.000408797,0.647059,8,6,0,matched;micro;raw;residual;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_080_4.868deg_correlation.png,per_peak_matrices/peak_group_080_4.868deg_correlation.csv
81,4.899852,11,0.7GPa;1GPa;1.3GPa;2.4GPa_decomp;5GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.000877033,0.647059,9,5,0,bump;matched;micro;raw;shoulder,2;3;5;8,per_peak_heatmaps/peak_group_081_4.900deg_correlation.png,per_peak_matrices/peak_group_081_4.900deg_correlation.csv
82,4.935690,11,0.7GPa;1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;5GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa,0.000533564,0.647059,7,7,0,bump;matched;micro;raw;residual;shoulder,2;3,per_peak_heatmaps/peak_group_082_4.936deg_correlation.png,per_peak_matrices/peak_group_082_4.936deg_correlation.csv
83,4.966939,11,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;8.5GPa;10.4GPa;12.8GPa,0.000250095,0.647059,5,10,0,matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_083_4.967deg_correlation.png,per_peak_matrices/peak_group_083_4.967deg_correlation.csv
84,4.996627,7,0.7GPa;1GPa;6.6GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa,0.00046498,0.411765,2,5,0,matched;micro;raw;shoulder,2;3,per_peak_heatmaps/peak_group_084_4.997deg_correlation.png,per_peak_matrices/peak_group_084_4.997deg_correlation.csv
85,5.023801,6,2.3GPa;6.2GPa;6.6GPa;10.4GPa;12.8GPa;15.6GPa,0.000434451,0.352941,2,5,0,matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_085_5.024deg_correlation.png,per_peak_matrices/peak_group_085_5.024deg_correlation.csv
86,5.064313,9,1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa;7.4GPa;8.5GPa,0.000574889,0.529412,6,3,0,bump;matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_086_5.064deg_correlation.png,per_peak_matrices/peak_group_086_5.064deg_correlation.csv
87,5.084672,3,1.5GPa;3.9GPa;6.2GPa,0.000146766,0.176471,2,1,0,micro;shoulder,,per_peak_heatmaps/peak_group_087_5.085deg_correlation.png,per_peak_matrices/peak_group_087_5.085deg_correlation.csv
88,5.127808,4,1GPa;9.8GPa;10.4GPa;13.3GPa,0.000975237,0.235294,2,3,0,matched;micro;raw;shoulder,2,per_peak_heatmaps/peak_group_088_5.128deg_correlation.png,per_peak_matrices/peak_group_088_5.128deg_correlation.csv
89,5.160655,6,0.7GPa;1GPa;6.6GPa;7.4GPa;8.5GPa;10.4GPa,0.000635786,0.352941,4,4,0,bump;matched;micro;raw;shoulder,2;3;5,per_peak_heatmaps/peak_group_089_5.161deg_correlation.png,per_peak_matrices/peak_group_089_5.161deg_correlation.csv
